term,definition
photolithoautotrophy,The condition of being a photolithoautotroph.
photomutagenicity,The state or condition of being photomutagenic.
photoreactivity,"The condition of being photoreactive 2014 July 15, Bryan A"
photoresponsiveness,The condition of being photoresponsive
photoreversibility,The condition of being photoreversible
photoselectivity,The condition of being photoselective
photoswitchability,The condition of being photoswitchable
phototolerance,The condition of being phototolerant
phylogenicity,"The condition of being phylogenic; a specific collection of phylogenic characteristics 2016 January 30, Antimicrobial Resistance and Molecular Epidemiology of Escherichia coli Causing Bloodstream Infections in Three Hospitals in Shanghai, China, in PLOS ONE[1], DOI:10.1371/journal.pone.0147740:The former study of Zhao [15 ]was designed to characterize antimicrobial susceptibility, distribution of drug resistance genes, phylogenicity and sequence types of EC-BSI in only one hospital in Shanghai."
physicalness,The condition of being physical; physicality.
phytoavailability,The condition of being phytoavailable
phytopathogenicity,The condition of being phytopathogenic
phytotoxicity,The condition of being phytotoxic
picturality,The state or quality of being related to or resembling a picture
picturesqueness,The condition of being picturesque
piedness,The state of being pied
pigheadedness,The condition of being pigheaded.
pighood,The state of being a pig
pilliness,The state or condition of being pilly.
pimpdom,"The state, quality, or condition of being a pimp; pimpness; pimphood"
pimpliness,The state or condition of being pimply.
pimpness,"The state, condition, or quality of being a pimp"
pinguidity,"The state or condition of being pinguid; fatness, obesity."
pinkiness,"The condition of being pinky, or somewhat pink."
pinkness,The condition of being pink
piousness,The condition of being pious; piety.
piteousness,The condition of being piteous
pithiness,The condition of being pithy.
pitifulness,The state or quality of being pitiful
pitilessness,The condition of being pitiless
placableness,The state or quality of being placable.
placelessness,The state or quality of being placeless.
placidity,The state of being placid; peacefulness
placidness,The state or quality of being placid.
placing,The condition of being placed.
plainness,"The condition of being plain (in all senses) 1986, John le Carr, A Perfect Spy:Yet her beauty clung to her like an identity she was trying to deny and her plainness kept slipping like a bad disguise."
plaintiveness,The state or condition of being plaintive.
planarity,The condition of being planar
planeness,The condition of being plane.
planethood,The state or condition of being a planet.
planfulness,The state or quality of being planful
plangency,The state of being plangent.
planktotrophy,The condition of being planktotrophic or of being a planktotroph
planlessness,The state or quality of being planless.
plasticism,The state or condition of being plastic
plausibleness,The state or quality of being plausible.
playability,The state or property of being playable.
pleasantness,The state or quality of being pleasant.
pleasure,A state of being pleased or contented; gratification
plenitudine,the condition of being full
plesionymy,"The state of being close but not identical in meaning, as with the words ""overcast"" and ""cloudy"""
pleurodonty,The condition of being pleurodont
plexity,"The condition of being composed of a particular number of things - being uniplex, duplex etc."
pliableness,The state of being pliable; pliability.
pliantness,The state or quality of being pliant.
ploddingness,The state or quality of being plodding.
plosiveness,The state or condition of being plosive.
plumminess,The state or quality of being plummy
plumpiness,The state or quality of being plumpy.
plurality,The state of being plural.
plurality,A state of being numerous.
pluralizability,The state or condition of being pluralizable.
pluricellularity,The condition of being pluricellular
pluridimensionality,The condition of being pluridimensional
pluripotency,The state of being pluripotent.
plurisexuality,The state of being sexually and romantically attracted to members of more than one gender
pluriversality,The condition of being pluriversal
pneumaticity,"The state of being pneumatic, or of having a cavity or cavities filled with air"
poachiness,The state of being poachy or marshy.
pockiness,The state or quality of being pocky.
podginess,The state or quality of being podgy.
poeticalness,The state or quality of being poetical
poeticness,The state or quality of being poetic.
pointfulness,The state or condition of being pointful.
pointiness,The state or condition of being pointy.
poisoning,The state of being poisoned
poisonousness,The state or quality of being poisonous.
pokiness,The state or condition of being poky.
polarizance,"The ability to produce polarized light 2015, Jose J"
politicization,The state of being (or process of becoming) politicized
polluosensitivity,The condition of being polluosensitive
pollutedness,The state of being polluted.
polyanionicity,The condition of being polyanionic
polyaxiality,The state of being polyaxial
polychromaticity,The condition of being polychromatic
polychromatism,The condition of being polychromatic
polycistronism,The condition of being polycistronic
polyclady,The state of being polycladous
polydispersibility,The condition of being made polydisperse
polydispersity,The state of being polydisperse
polydispersivity,"The condition of being polydispersive 2015 October 3, Half-Barrels Derived from a (/) 8 Barrel -Glycosidase Undergo an Activation Process, in PLOS ONE[1], DOI:10.1371/journal.pone.0139673:The polydispersivity of the samples, which was lower than 25%, indicates that Sfgly-N and Sfgly-C were homogeneous throughout the incubation period."
polyfunctionality,The state of being polyfunctional.
polyglotism,The ability to communicate in several languages.
polygonality,"The state of being a polygon, the degree to which an object is polygonal"
polygoneutism,The state of being polygoneutic
polyhedrality,The condition of being polyhedral
polymerizability,The state of being polymerizable.
polymerogenicity,The condition of being polymerogenic
polymery,The condition of being polymeric.
polymolecularity,The state of being polymolecular
polymorphism,The ability to assume different forms or shapes.
polypetaly,The condition of being polypetalous.
polyphasia,The condition of being polyphasic
polyphyly,The condition of being polyphyletic
polyploidy,"The condition of being polyploid or the process of becoming polyploid 2011, Terence Allen and Graham Cowling, The Cell: A Very Short Introduction, Oxford 2011, p"
polysomatism,The condition of being polysomatic.
polysomy,The condition of being polysomic.
polyunsaturation,"The state of being polyunsaturated, or the degree to which something is polyunsaturated."
polyvalence,The state of being polyvalent.
ponderableness,The state or quality of being ponderable.
popishness,The state or condition of being popish.
poppiness,The state of being poppy
porkishness,The state or quality of being porkish
poroelasticity,The state or condition of being poroelastic.
porohyperelasticity,The condition of being porohyperelastic
porosity,"The state of being porous 2004, Frank Hamer; Janet Hamer, The Potter's Dictionary of Materials and Techniques, 5th edition, London; Philadelphia, Penn.: A C Black; University of Pennsylvania Press, ISBN, page 248:An overfired biscuit has insufficient porosity for glazing."
portableness,The state or quality of being portable; portability.
posedness,The condition of being posed in the stated manner
poshness,The state or condition of being posh.
positivity,The condition of being positive (in all senses); positivism
possession,The condition of being under the control of strong emotion or madness.
postconfluency,The condition of being postconfluent
posteriority,The condition of being posterior (in any sense)
postmodernity,The state or condition of being postmodern.
postpartisanship,"The state or quality of being postpartisan 2009 March 8, Matt Bai, Yes, More Mr"
pourability,The state or condition of being pourable.
practicability,The state of being practicable; feasibility
practicality,The state of being practical or feasible.
praiseworthiness,The condition of being praiseworthy
prayerfulness,The state or quality of being prayerful.
prayerlessness,The state or condition of being prayerless; failure to pray.
preassociativeness,"The condition of being preassociative 2015, Miguel Couceiro, Jean-Luc Marichal, Bruno Teheux, Relaxations of associativity and preassociativity for variadic functions, in arXiv[1]:We also give an example where these parameterized notions give rise to natural hierarchies of functions and indicate their potential use in measuring the degrees of associativeness and preassociativeness."
preassociativity,"The condition of being preassociative 2015, Miguel Couceiro, Jean-Luc Marichal, Bruno Teheux, Relaxations of associativity and preassociativity for variadic functions, in arXiv[1]:In this paper we consider two properties of variadic functions, namely associativity and preassociativity, that are pertaining to several data and language processing tasks."
precandidacy,State of being a precandidate.
precariousness,A state of being uncertain or unstable
preciousness,The condition of being precious.
precipitantness,The state or quality of being precipitant.
precipitateness,The state of being precipitate; hastiness
precipitousness,The state or quality of being precipitous.
preciseness,The condition of being precise; precision
precision,The state of being precise or exact; exactness.
preclusion,The condition of being precluded.
precociality,The condition of being precocial
precociousness,The condition of being precocious Bishop Mannyngham Saucy precociousness in learning
precocity,The state of being precocious
predeterminedness,The state of being predetermined.
predicativity,"The condition of being predicative 2007 April 21, ScottSoames, No class: Russell on contextual definition and the elimination of sets, in Philosophical Studies, volume 139, number 2, DOI:10.1007/s11098-007-9088-x:In fact, they are intertwined with his dauntingly complex and far-reaching ideas about predicativity, the semantic paradoxes, and the ramified vs"
predictiveness,the ability to predict
predictivity,The condition of being predictive
predisposition,"the state of being predisposed or susceptible to something, especially to a disease or other health problem"
preferability,The state of being preferable.
preference,The state of being preferred over others.
preferentiality,The condition of being preferential.
preferredness,The state of being preferred
prefixhood,"The state, condition, or qualification of being a prefix"
pregnancy,The condition of being pregnant
prehensibility,The condition of being prehensible
premaximality,"The condition of being premaximal 2015, T"
preneoplasia,"The state of being preneoplastic 2015 August 6, Nuclear Receptor Expression and Function in Human Lung Cancer Pathogenesis, in PLOS ONE[1], DOI:10.1371/journal.pone.0134842:These precancerous and fully tumorigenic models provide an ideal system to study the role of NRs in lung cancer pathogenesis including preneoplasia and tumor formation."
preobesity,The condition of being preobese; predisposition to obesity.
preoccupation,The state of being preoccupied or an idea that preoccupies the mind; enthrallment.
preparation,The state of being prepared; readiness.
preparedness,The state of being prepared
preppiness,The state or condition of being preppy.
prescriptiveness,The state or condition of being prescriptive.
presence,"The state of being closely focused on the here and now, not distracted by irrelevant thoughts"
presentativeness,The state or quality of being presentative.
presentiveness,The state or quality of being presentive.
presidentiality,The state or condition of being presidential
prestigiousness,The state or condition of being prestigious.
presumptiveness,The condition of being presumptive
presumptuousness,The state of being presumptuous.
presupposedness,The state or quality of being presupposed.
preternaturalism,The state of being preternatural; a preternatural condition.
preventability,The condition of being preventable
pricelessness,The state or condition of being priceless; very high value.
prickliness,The state or quality of being prickly.
pridefulness,The state or condition of being prideful; pride.
priestliness,The state or quality of being like a priest
priggishness,The state or quality of being priggish.
primacy,"The state or condition of being prime or first, as in time, place, rank, etc"
primality,The condition of being prime
primality,The condition of being a prime number
primigravidity,The condition of being primigravid
primigravity,The condition of being primigravid.
primiparity,The condition of being primiparous
primitivism,The state or quality of being primitive.
primitivity,The state of being primitive; primitiveness.
primogeniture,The state of being the firstborn of the children of the same parents.
princehood,"The state, quality, or condition of being a prince"
princesshood,"The state, quality, or condition of a princess"
principledness,The state or condition of being principled
printability,"The state or condition of being printable, or of being a suitable ink or paper for use in printing."
prissiness,The state or quality of being excessively prim or proper.
pristineness,The state or condition of being pristine
privacy,"The state of being secluded from the presence, sight, or knowledge of others"
privation,The state of being deprived of or lacking an attribute formerly or properly possessed; the loss or absence of such an attribute.
privation,"The state of being very poor, and lacking the basic necessities of life."
privativeness,The state of being privative.
proactiveness,The state or condition of being proactive.
probability,The state of being probable; likelihood
probableness,The state or quality of being probable.
probationership,The state of being a probationer; novitiate
problematicity,The condition of being problematic
procoagulability,"The ability to produce procoagulation 2015 August 5, Elizabeth Osei et al., Metformin and sitAgliptin in patients with impAired glucose tolerance and a recent TIA or minor ischemic Stroke (MAAS): study protocol for a randomized controlled trial, in Trials[1], volume 16, DOI:10.1186/s13063-015-0882-z:The mechanisms underlying this association are not fully understood, but include insulin resistance, endothelial dysfunction, dyslipidemia, chronic inflammation, procoagulability, and impaired fibrinolysis [ 6 8 ]."
prodigiousness,The state or condition of being prodigious.
productibility,The state of being productible; producibility
productionlessness,"The state or condition of being productionless; unproduction 2014, Robert A.F"
productiveness,The state of being productive.
productivity,"the state of being productive, fertile or efficient"
professionality,The condition of being professional.
profitlessness,The state or condition of being profitless.
profligateness,The state or condition of being profligate; wastefulness.
profundity,The state of being profound or abstruse.
progenitiveness,The state or quality of being progenitive (able to produce offspring)
progenitorship,The state of being a progenitor.
progressivity,The condition of being progressive.
projectability,The condition of being projectable
projectivity,The condition of being projective.
proletarianism,"The state, quality, or condition of being a proletarian."
prolificness,The condition of being prolific
prominence,The state of being prominent: widely known or eminent
promiscuity,The state or quality of being promiscuous.
promiscuousness,The state or condition of being promiscuous.
promotability,The ability to be promoted (in any sense).
properness,The state or condition of being proper; propriety.
properness,"The state or condition of being proper (of a proper fraction, proper subset, etc.)."
prophethood,State or condition of being a prophet
proprietorship,The state of being a proprietor; ownership
propulsiveness,The state or condition of being propulsive.
prospectivity,The state of being prospective rather than retrospective
prosperity,"The condition of being prosperous, of having good fortune"
prostration,"The condition of being prostrated, as from heat; complete loss of strength."
protectability,The ability to receive protection.
protectedness,"The state or condition of being protected, or the degree to which something is protected."
protection,The state of being safe.
protectivity,"The state, quality, or condition of being protective"
proterandry,The condition of being proterandrous.
proteranthy,The condition of being proteranthous
proterogyny,The condition of being proterogynous.
protomodernity,The condition of being protomodern
prototrophy,The condition of being a prototroph
prototypicality,The condition of being prototypical
protraction,The condition of being protracted
protrusibility,The condition of being protrusible
protrusion,The state of being protruded
provability,The condition of being provable
provokingness,The state or condition of being provoking.
proximality,"The condition of being proximal 2015, Aurelia Bartnicka, Stanisaw Kasjan, Joanna Kuaga-Przymus, Mariusz Lemaczyk, B-free sets and dynamics, in arXiv[1]:We show that for a subclass of taut B-free systems proximality is the same as heredity."
prudentialness,The state of being prudential; prudence.
prudery,The condition of being prudish; prudishness
prudishness,The condition of being prudish; prudery
pseudocompactness,"The condition of being pseudocompact 2015, Oleg Gutik, Oleksandr Ravsky, Pseudocompactness, products and topological Brandt 0 {\displaystyle \lambda ^{0}} -extensions of semitopological monoids, in arXiv[1]:In the paper we study the preservation of pseudocompactness (resp., countable compactness, sequential compactness, {\displaystyle \omega } -boundedness, totally countable compactness, countable pracompactness, sequential pseudocompactness) by Tychonoff products of pseudocompact (and countably compact) to\-pological Brandt i 0 {\displaystyle \lambda _{i}^{0}} -extensions of semitopological monoids with zero."
pseudodiploidy,The condition of being pseudodiploid
pseudoduality,The condition of being pseudodual
pseudohomophony,The condition of being a pseudohomophone
pseudohomothallism,The condition of being pseudohomothallic
pseudolocality,"The condition of being pseudolocal 2015, Richard H"
pseudomerohedry,The condition of being pseudomerohedral
pseudonymity,"The state of being pseudonymous, of hiding one's true identity behind a pseudonym"
pseudorandomness,The state of being pseudorandom.
pseudotetraploidy,The condition of being pseudotetraploid
pseudoziphodonty,The condition of being pseudoziphodont
psychogenicity,"The state or property of being psychogenic, i.e"
psychotoxicity,The condition of being psychotoxic
pubescence,The state of being in or reaching puberty.
publicity,The condition of being the object of public attention.
puck-handling,The ability to control the puck; stickhandling
puckstopping,"The state of being a goalkeeper 2009 February 20, Damien Cox, Valuable learning experience for young Pogge, in Toronto Star[1]:He couldn't protect the lead, the OT produced his most confident puckstopping of the night and the shootout, well, he didn't win it and didn't make a save."
pudginess,The state or quality of being pudgy
puerility,"The state, quality, or condition of being childish or puerile."
puff,The ability to breathe easily while exerting oneself
puffiness,The state or quality of being puffy
pukkaness,The state or quality of being pukka
pulsatility,The state or quality of being pulsatile.
punchiness,The condition of being punchy
punctuality,The state of being punctual
punditry,The state of being a pundit
pungency,The state of being pungent.
punitiveness,The state or condition of being punitive.
punniness,The state or condition of being punny.
pupadom,The state of being a pupa.
pupilage,The condition of being a pupil
puppydom,The state of being a puppy; puppyhood.
puppyhood,the state of being a puppy
purblindness,The state or condition of being purblind.
purifiability,The condition of being purifiable
purpleness,The state or condition of being purple in colour.
purposefulness,The state of being purposeful.
purposelessness,The state of being purposeless.
purposiveness,The state or condition of being purposive
purposivity,The state or condition of being purposive
pursiness,The state of being pursy
pursuance,The state of being pursuant; consequence.
pushoverness,"The state, quality, or condition of being a pushover 1965, The Quarterly Journal of Economics, volume 79, page 94:The second could be the achievement of sustained full employment and a higher rate of growth; these could increase both the availability of labor force ""reserves"" to low-wage trade and service sectors and the ""pushfulness"" of unions (and the pushoverness of employers) in the relatively high-wage manufacturing, construction, and transportation branches."
pustulation,The state of being pustulated.
putrefaction,The state of being rotten.
putrescence,The condition of being putrid; decay
putridity,The state of being putrid.
puzzle,The state of being puzzled; perplexity
pyrokinesis,The ability to set objects or people on fire or to supernaturally project fire from one's own being through the concentration of psychic power.
pyrophoricity,The state of being pyrophoric.
Icelandicness,The state or quality of being Icelandic.
Islamness,The state of being Muslim or Islamic.
Zenoness,The state of being Zeno
Muslimhood,The state or quality of being Muslim.
nakedness,The state or condition of being naked; nudity; bareness; defenselessness; undisguisedness.
namelessness,The state or quality of being nameless.
nanocrystallinity,The condition of being nanocrystalline
nappiness,The state or condition of being nappy.
narcotization,the state of being narcotized; narcosis
narratability,The condition of being narratable.
narrow-mindedness,The state of being narrow-minded.
narrowness,"the state of being narrow 1749, [John Cleland], Memoirs of a Woman of Pleasure [Fanny Hill], London: Printed [by Thomas Parker] for G"
nasality,The state or quality of being nasal.
nationlessness,The state of being nationless.
nativeness,The state or condition of being native.
naturality,"The condition of being natural; nature, naturalness"
naturalness,The state or quality of being natural.
naturelessness,The state or condition of being natureless.
naughtiness,the state of being naughty
nauseation,The state of being nauseated.
nauseogenicity,The condition of being nauseogenic
nauseousness,The state of being nauseous; nausea
navigability,The state of being navigable.
near vision,The ability to see clearly an image that is relatively close (about 10 to 13 inches)
nearness,The state of being near; closeness; intimacy.
neatness,The state of being neat.
nebulation,The condition of being nebulated.
necessity,The condition of being needy; desperate need; lack (Can we add an example for this sense?)
necrotrophy,The condition of being necrotrophic.
negative capability,The ability to accept uncertainty and contradiction without needing to resolve the conflict
neglect,The state of being neglected.
negligence,The state of being negligent.
negotiability,The state of being negotiable
neighborship,"The state or condition of being neighbors; a community, connection, or relationship between or among people and/or things which is based simply on living close geographically"
neighbourship,The state or condition of being neighbours; a connection or relationship between people or things which is based simply on living close geographically
nematicity,"The condition of being nematic, or extent to which a material is nematic"
neoadjuvancy,The condition of being neoadjuvant
neopolyploidy,The condition of being a neopolyploid
nephritogenicity,"The condition of being nephritogenic 2015 October 15, Co-Positivity for Anti-dsDNA, -Nucleosome and -Histone Antibodies in Lupus Nephritis Is Indicative of High Serum Levels and Severe Nephropathy, in PLOS ONE[1], DOI:10.1371/journal.pone.0140441:Thus, the presence and nephritogenicity of nucleosome-containing immune complexes were verified in kidney biopsies of murine and human LN."
nephrotoxicity,The state or condition of being nephrotoxic; toxicity that damages kidneys.
nerdishness,The state or quality of being nerdish.
nervosity,The state of being nervous; nervousness.
nervousness,The state or quality of being nervous.
neshness,The condition of being nesh
netherhood,The state or condition of being nether (i.e
netherness,The state or quality of being nether or beneath; lowness; inferiority
neurocompetence,The condition of being neurocompetent
neurocytotoxicity,The condition of being neurocytotoxic
neuroexcitability,The condition of being neuroexcitable
neurogenicity,The condition of being neurogenic
neuroinvasiveness,The condition of being neuroinvasive
neuroplasticity,"The state or quality of being neuroplastic, of having a brain that adapts to experience 2007 December 11, Craig Howard Kinsley, Massimo Bardi, Kate Karelina, Brandi Rima, Lillian Christon, Julia Friedenberg and Garrett Griffin, Motherhood Induces and Maintains Behavioral and Neural Plasticity across the Lifespan in the Rat, in Archives of Sexual Behavior, volume 37, number 1, DOI:10.1007/s10508-007-9277-x:Further, it is one that is illustrative of the flexibility that derives from neuroplasticity, producing an efficient and opportunistic parous animal."
neurotoxicity,The state or property of being neurotoxic.
neurotrophicity,The condition of being neurotrophic
neutralism,The state of being neutral; neutrality.
neutrality,"The state or quality of being neutral; the condition of being unengaged in contests between others; state of taking no part on either side 1709, Joseph Addison, The Tatler"
neutralness,The state or quality of being neutral.
newbieness,The state of being a newbie.
newsness,The state or quality of being news
nieceship,"The state, condition, or relationship of a niece"
niggardliness,The state of being niggardly.
nightmarishness,The state or condition of being nightmarish.
nimiety,"State of being in excess, more than is needed"
nippiness,The condition of being nippy.
nodation,The state of being knotted.
nodosity,The state of being nodose
nodularity,The condition of being nodular.
noetherianity,The condition of being noetherian
noisomeness,The state or quality of being noisome.
nolleity,The state of being unwilling; nolition.
nomadicity,The state of being nomadic.
nomadity,The state or condition of being a nomad
nomadness,"The state, quality, or condition of a nomad 2013, Artemis Sere, Xenomorphine: From the busted planks and chipped paint I build a moveable [sic] nest, adapting to the nomadness in the best way plausible, with the resources at my limited disposal."
nonGaussianity,The condition of being non-Gaussian
nonadiabaticity,The state or condition of being nonadiabatic.
nonage,"The state of being under legal age; minority, the fact of being a minor"
nonalignment,The condition of being nonaligned
nonauthenticity,The state or condition of being nonauthentic.
nonbirefringence,"The condition of being nonbirefringent 2015, Wei-Tou Ni, Equivalence Principles, Spacetime Structure and the Cosmic Connection, in arXiv[1]:This nonbirefringence constrains the spacetime constitutive tensor to high precision to a core metric form with an axion degree and a dilaton degree of freedom."
noncanonicality,The condition of being noncanonical
noncentrality,"The condition of being noncentral 2015 October 6, Statistical Analysis of Zebrafish Locomotor Response, in PLOS ONE[1], DOI:10.1371/journal.pone.0139521:Given the power under a certain significance level, we can also calculate the noncentrality parameter 2, which indicates the amount of difference that a test could detect."
nonclassicality,The condition of being nonclassical
noncollinearity,The state of being noncollinear; the lack of collinearity.
noncommutability,The condition of being noncommutable
noncommutativity,The condition of being noncommutative.
noncompetence,The state or condition of being noncompetent.
noncompleteness,The state or condition of being noncomplete.
noncompressibility,The condition of being noncompressible
noncomputability,The state or condition of being noncomputable.
nonconductivity,The state or condition of being nonconductive
nonconfluence,The state or condition of being nonconfluent.
noncongruence,The state or condition of being noncongruent.
noncontextuality,The condition of being noncontextual.
noncontingency,The condition of being noncontingent
noncontractibility,The condition of being noncontractible
noncytotoxicity,The condition of being noncytotoxic
nondeducibility,The condition of being nondeducible
nondegeneracy,the condition of being nondegenerate
nondescriptness,The state or condition of being nondescript.
nondetectability,The condition of being nondetectable
nondiscordance,The condition of being nondiscordant
nondurability,The state or condition of being nondurable.
nonemptiness,The state or condition of being nonempty.
nonerection,The condition of being not erect
nonergodicity,The condition of being nonergodic.
nonessentiality,The condition of being nonessential
nonexclusivity,The state or condition of being nonexclusive.
nonexponentiality,The state of being nonexponential
nonextensivity,The state of being nonextensive
nonextremality,The condition of being nonextremal.
nonfertility,The state or condition of being nonfertile.
nonflammability,The state or condition of being nonflammable.
nonfreeness,"The condition of being nonfree 2015, Alex D"
nonfunctionality,The condition of being nonfunctional
nongaussianity,"The condition of being nongaussian 2016 January 29, Oil Adulteration Identification by Hyperspectral Imaging Using QHM and ICA, in PLOS ONE[1], DOI:10.1371/journal.pone.0146547:Therefore, it needs some criteria to sort these ICs"
nonglaucousness,The condition of being nonglaucous
nonhealthiness,The state or condition of being nonhealthy.
nonideality,The condition of being nonideal
nonidentifiability,The condition of being nonidentifiable
noninfectivity,The condition of being noninfective
nonintegrability,The condition of being nonintegrable
nonisostericity,The condition of being nonisosteric
nonlinearity,The state of being nonlinear.
nonlocality,The condition of being nonlocal
nonlocalizability,The condition of being nonlocalizable.
nonmateriality,The state or condition of being nonmaterial.
nonmetricity,The condition of being nonmetric.
nonmonophyly,"The condition of being nonmonophyletic 2015 November 13, Delineating a New Heterothallic Species of Volvox (Volvocaceae, Chlorophyceae) Using New Strains of Volvox africanus , in PLOS ONE[1], DOI:10.1371/journal.pone.0142632:As discussed previously [5 ], however, division of the genus Volvox into four monophyletic genera (Fig 2 ) would not resolve problems for nonmonophyly of the genera Eudorina and Pleodorina [5, 24 ]."
nonmonotonicity,The condition of being nonmonotonic
nonmusicality,The state or condition of being nonmusical
nonnegativity,The condition of being nonnegative
nonnormality,The condition of being nonnormal
nonobesity,The state or condition of being nonobese.
nonobviousness,The state or condition of being nonobvious
nonomnipotence,The state or condition of being nonomnipotent
nonomniscience,The state or condition of being nonomniscient
nonoptimality,The state of being nonoptimal.
nonpalatability,The condition of being nonpalatable
nonparabolicity,The condition of being nonparabolic
nonparaxiality,The condition of being nonparaxial
nonpathogenicity,The condition of being nonpathogenic
nonpermissiveness,The state or condition of being nonpermissive.
nonpersistence,The condition of being nonpersistent
nonpositivity,The condition of being nonpositive
nonpotentiality,The condition of being nonpotential
nonproportionality,The condition of being nonproportional
nonprosociality,The condition of being nonprosocial
nonrandomness,The state or condition of being nonrandom.
nonreciprocity,The condition of being nonreciprocal.
nonregularity,The state or condition of being nonregular.
nonreligiousness,The state or condition of being nonreligious.
nonrenormalizability,the condition of being nonrenormalizable
nonrepeatability,The condition of being nonrepeatable
nonresidence,The state or condition of being nonresident.
nonrestrictiveness,The state or condition of being nonrestrictive.
nonselectivity,The condition of being nonselective
nonsensicality,The state or condition of being nonsensical.
nonsensuality,The state or condition of being nonsensual.
nonseparability,The condition of being nonseparable.
nonsimilarity,The state or condition of being nonsimilar; differentness.
nonsmoothness,"The condition of being nonsmooth 2016, Jon Lee, Daphne Skipper, Virtuous smoothing for global optimization, in arXiv[1]:In the context of global optimization and mixed-integer non\-linear programming, generalizing a technique of D'Ambrosio, Fampa, Lee and Vigerske for handling the square-root function, we develop a virtuous smoothing method, using cubics, aimed at functions having some limited nonsmoothness."
nonspatiality,The state or condition of being nonspatial.
nonspecificity,The state or condition of being nonspecific.
nonsphericity,The condition of being nonspherical
nonstandardness,The state or condition of being nonstandard
nonstationarity,The condition of being nonstationary.
nonstoichiometry,The condition of being nonstoichiometric.
nontoxicity,The state or condition of being nontoxic.
nontriviality,The condition of being nontrivial
nontypicality,The condition of being nontypical
nonuniformity,The condition of being nonuniform
nonuniqueness,The state or condition of being nonunique.
nonvalidity,The state or condition of being nonvalid.
nonviability,The state or condition of being nonviable; impracticality
nonvirility,the state of being nonvirile
nonvirulence,The state or condition of being nonvirulent.
nonvisibility,The condition of being nonvisible
nonwoodiness,The state of being not woody
normalcy,The state of being normal; the fact of being normal; normality
normality,The state of being normal or usual; normalcy
normativity,The state of being normative.
normativity,The state of being a norm.
normophosphatemia,The condition of being normophosphatemic.
normothermy,The condition of being normothermic
northernness,The state or quality of being northern.
notaryship,The state of being a notary
notelessness,The state of being without notes
notifiability,The condition of being notifiable
notionality,The state or property of being notional.
notoriety,The condition of being infamous or notorious
novelty,The state of being new or novel; newness
noxiousness,"the state of being noxious 2007 June 8, The Treatment, in Chicago Reader[1]:Though she's superficial to the point of noxiousness and obsessed with amassing cultural cache, her ridiculous affectations make up for it"
nubbiness,The state or condition of being nubby.
nucleofugality,The condition of being nucleofugal.
nucleophilicity,The condition of being nucleophilic
nucleotropism,The condition of being nucleotropic
nudiness,"The state, quality, or condition of being nudy"
nudity,"The state or quality of being without clothing on the body; specifically, the quality of being without clothing on the genitals"
nullability,The state or property of being nullable
nulliparousness,The condition of being nulliparous
nulliploidy,The condition of being nulliploid
nullisomy,The condition of being nullisomic
nullity,"The state of being null, or void, or invalid"
nullizygosity,The condition of being nullizygous.
numberlessness,"The state of being without number, uncountability."
numericalness,The state or quality of being numerical.
numerosity,The condition of being numerous.
numerousness,The state or quality of being numerous.
numinousness,The state or quality of being numinous.
nuptiality,"the state of being married The demographer noted each persons' gender, age, and nuptiality."
nymphetry,The state of being a nymphet
Lappishness,The state or quality of being Lappish.
Latinhood,"The state, condition, or status of Latin or of being Latin (in all senses); Latinity"
Latinness,"The state, quality, or condition of Latin or of being Latin (all senses); Latinity."
Latvianness,The state or quality of being Latvian.
NP-completeness,The state or condition of being NP-complete.
vagrancy,the state of being a vagrant
vagrantness,State of being vagrant; vagrancy.
vagueness,The condition of being unclear; vague.
validity,"The state of being valid, authentic or genuine."
validness,the state of being valid
vampiredom,The state of being a vampire; vampirehood
vampirehood,The state of being a vampire; vampiredom
vanquishment,The state of being vanquished
vapidity,The state or quality of being vapid; vapidness.
vapidness,The state or quality of being vapid; vapidity.
vaporousness,The condition of being vaporous
variationality,"The condition of being variational 2016, Roman Matsyuk, Third order variational equation for the free relativistic top, in Collected Physical Papers"
varicosis,The condition of being varicose or of having varicose veins
variegation,the state of being variegated
variousness,The state or property of being various.
vasculotoxicity,The condition of being vasculotoxic
vasoresponsiveness,The condition of being vasoresponsive
vassalage,The state of being a vassal
vassaldom,State of being a vassal; vassalage.
vassalhood,The state of being a vassal; vassalage
vectoriality,The state of being vectorial
vectorizability,The state or condition of being vectorizable.
veganity,The state of being a vegan
velocitization,"The condition of being accustomed to high speeds, so that they no longer seem as fast"
venerableness,The condition of being venerable.
vengefulness,The state or quality of being vengeful ca
venomousness,The condition of being venomous
verdancy,the state of being verdant
verifiability,The state or property of being capable of being verified; confirmability.
verification,The state of being verified.
vermiculation,The state of being infested or consumed by worms
versality,"The condition of being versal 2015, Maxim Kazarian, Sergey Lando, Dimitri Zvonkine, Universal cohomological expressions for singularities in families of genus 0 stable maps, in arXiv[1]:We consider families of curve-to-curve maps that have no singularities except those of genus 0 stable maps and that satisfy a versality condition at each singularity."
vesicularity,The state or condition of being vesicular; presence of vesicles.
vesselness,"The condition of being a (tubular) vessel 2015 November 17, Active Contours Driven by Multi-Feature Gaussian Distribution Fitting Energy with Application to Vessel Segmentation, in PLOS ONE[1], DOI:10.1371/journal.pone.0143105:Hence, a novel region-based active contour model is proposed by taking image intensities and vesselness values from local phase-based vesselness enhancement into account simultaneously to define a novel multi-feature Gaussian distribution fitting energy in this paper."
