term,definition
notchiness,Quality of being notchy.
notedness,The quality of being noted.
nothingness,Quality of inconsequentiality; lacking in significance.
noticeability,The quality of being easy to see or notice.
noticeableness,The quality of being noticeable.
notionalness,Quality of being notional.
notionlessness,Absence of notions.
nounhood,The quality of being a noun
nounlessness,Absence of nouns.
nounness,Quality of being a noun.
nounship,The quality of a word or phrase behaving as a noun.
nourishingness,The quality of being nourishing.
novelness,Quality of being novel.
nowness,"The property of happening now, or relating to now."
nugatoriness,Quality of being nugatory.
null recurrence,the quality of being null recurrent.
nullibiety,The property of being nowhere; non-existence
nullipotence,Quality of being nullipotent.
nullness,The quality of being null or empty.
numberedness,Quality of being numbered.
numberhood,The property of being a number.
numerability,The quality of being numerable.
numerableness,The quality of being numerable.
numeracy,The quality of being numerate; numerical skill.
numericity,The quality of being numeric
numerosity,The extent to which something is numerous.
numinosity,Quality of being numinous.
nunnishness,The quality of being nunnish.
nutritiveness,The quality of being nutritive.
nuttiness,The quality or degree of having a nutty flavor or texture
nuttiness,The quality or degree of having a nutty aspect; craziness or zaniness
Laodiceanism,The quality of being Laodicean; lukewarmness in religion.
Laoness,Quality of being Lao.
Latinity,"The quality of a particular person's Latin speech or writing; the Latin language, as an area of study or interest"
Lebaneseness,Quality of being Lebanese.
Levant morocco,"A fine quality of morocco leather, with large grain."
Libyanness,Quality of being Libyan.
Lithuanianness,The quality of being Lithuanian.
Yemeniness,Quality of being Yemeni.
Yorkshireness,The quality or property of being Yorkshire.
Yugoslavianness,Quality of being Yugoslavian.
Yugoslavness,Quality of being Yugoslav.
Namibianness,Quality of being Namibian.
Nepaleseness,Quality of being Nepalese.
Nicaraguanness,Quality of being Nicaraguan.
Nigerianness,Quality of being Nigerian.
Nordicity,The quality or characteristic of being Nordic.
Nordicness,The quality or characteristic of being Nordic.
Norseness,Quality of being Norse.
vacancy,Lack of intelligence or understanding.
vacuousness,the quality of being vacuous
vaginality,The quality of being vaginal
vainness,The property of being vain
valency,The capacity of a verb to take a specific number of arguments
valency,The capacity of something to combine with other things
valiance,"The quality of being valiant; heroism, bravery or valour."
valiantness,The property of being valiant
validity,"A quality of a measurement indicating the degree to which the measure reflects the underlying construct, that is, whether it measures what it purports to measure (see reliability)."
valorousness,The quality of being valorous; valour.
valuableness,The quality of being valuable
valuelessness,Lack of value; the state or condition of being valueless.
valvelessness,Absence of valves.
vampiness,The quality of being vampy
vampishness,The quality of being vampish.
vaporosity,The quality of being vaporous.
vapourishness,The quality of being vapourish.
variedness,Quality of being varied.
variety,The quality of being varied; diversity
variformity,The quality of being variform.
vasoactivity,The quality or degree of being vasoactive.
vasoreactivity,The quality or degree of being vasoreactive
vastness,The quality of being vast
vegetativeness,The quality of being vegetative.
vehementness,Quality of being vehement.
veiledness,The quality of being veiled or hidden.
veininess,The quality of being veiny.
veinlessness,Absence of veins.
velarness,Quality of being velar.
velvetiness,Quality of being velvety.
venalness,Quality of being venal.
vendibleness,The property of being vendible.
veniality,The quality of being venial (pardonable)
venialness,The quality of being venial (pardonable).
venomosity,The quality of being venomous.
venosity,The quality of being venous or venose.
veracity,The quality of speaking or stating the truth; truthfulness
verbalness,Quality of being verbal.
verbatimness,The quality of being verbatim.
verblessness,Absence of verbs.
verbness,Quality of being a verb.
verisimilarity,The property of being verisimilar.
verisimilitude,"The property of seeming true, of resembling reality; resemblance to reality, realism."
veritableness,The quality of being veritable.
vernacularity,The quality of being vernacular.
vernality,The quality of being vernal or spring-like.
versatileness,The quality of being versatile.
versatility,The property of being versatile or having many different abilities; flexibility
verticalness,The property of being vertical.
vertiginousness,The quality of being vertiginous.
vestigiality,The quality of being vestigial.
vestlessness,Absence of a vest.
vexedness,The quality of being vexed; irritation or annoyance.
viability,"the property of being viable; the ability to live or to succeed 1904, Hugo DeVries, Species and Varieties, Their Origin by Mutation Ordinarily these altered organs are sterile, but in some instances a very small quantity of seed is produced, and when testing their viability I succeeded in raising a few plants from them"
vibrancy,The quality of being vibrant.
vibrationlessness,Absence of vibration.
vicariousness,The quality of being vicarious.
vicelessness,Absence of vice.
viciousness,"the characteristic of being vicious Synonyms: viciosity, vitiosity"
victimlessness,The property of being victimless.
viewiness,"The quality of being viewy, or of having unpractical views."
vigorlessness,Absence of vigor.
vigorousness,The quality of being vigorous.
vincibility,The quality of being vincible.
vindicability,The quality of being vindicable.
vindicativeness,The quality of being vindicative.
violability,The quality of being violable.
violableness,Quality of being violable.
viperishness,The quality of being viperish.
virilescence,Quality of being virilescent.
virtuality,The quality of being virtual; virtualness.
virtualness,The quality of being virtual; virtuality
virtuelessness,Absence of virtue.
viscerality,A quality of being related to the physical as opposed to the virtual or imaginary world or reality
viscoelasticity,The property of a material that is both viscous and elastic.
viscoplasticity,The extent to which something is viscoplastic.
visionlessness,Lack of inspiration; state of being uninspired.
visitability,The extent to which a building (or other site) is accessible to the disabled.
visuality,"The quality of being visual 1840, Thomas Carlyle, Heroes and Hero Worship[1]:Not the general whole only; every compartment of it is worked out, with intense earnestness, into truth, into clear visuality"
visualizability,The quality of being visualizable.
visualness,The quality of being visual.
vitativeness,Quality of being vitative.
vitreosity,The quality or degree of being vitreous.
vitrescence,The quality of being vitreous or glassy
viviparousness,The quality of being viviparous; viviparity.
vocality,The quality or degree of being vocal
vocality,The quality of being a vowel; vocalic character.
vocalness,The quality of being vocal; outspokenness
voicefulness,"The quality of being voiceful, or having a voice."
voidability,The quality of being voidable
voidance,The quality of being void.
volatileness,The quality of being volatile.
volitionality,The quality of being volitional.
volitionlessness,Absence of volition.
volubleness,The quality of being voluble.
vorticity,A property of a fluid flow related to local angular rotation; defined as the curl of the flow's velocity field
votelessness,"Absence of votes, or of the right to vote."
votiveness,The quality of being votive.
vowelhood,The property of being a vowel
vowlessness,Absence of vows.
vugginess,Quality of being vuggy.
vulgarity,The quality of being vulgar
vulgarness,The quality of being vulgar.
vulpinism,The quality of being cunning like the fox; artfulness
vulturism,The quality of being like a vulture; rapaciousness.
Omaniness,Quality of being Omani.
cablessness,Absence of cabs (the means of transport).
cacheability,The quality of being cacheable.
caddishness,The quality of being caddish.
cagelessness,Absence of a cage.
caginess,The quality of being cagey.
cakelessness,Absence of cake.
cakiness,The quality of being caky
calcareousness,The quality of being calcareous.
calculableness,The quality of being calculable.
calculatedness,The quality of being calculated.
callousness,The quality of being callous; emotional hardheartedness or indifference
callousness,The quality of having calluses.
calmingness,The quality of being calming.
calorigenicity,The quality of being calorigenic.
cameralessness,Absence of cameras.
campiness,"The quality of being campy 1988, January 8, Lawrence Bommer, in Live Dancers Tonite[1]:Still, here, as in the calculated Gong Show campiness of El Grande de Coca-Cola [] , excellence would simply get in the way"
campness,"The quality of being camp 2009, January 23, Dwight Garner, in The Mahvelous and the Damned[1]:From its beginning, the group had an irretrievable air of campness."
cancellability,The quality of being cancellable.
cancellation,The property of being cancellate
candidness,The quality of being candid
canescence,The quality of being canescent
canorousness,The quality of being musical
capaciousness,The quality of being capacious
capacitance,"The property of an electric circuit or its element that permits it to store charge, defined as the ratio of stored charge to potential over that element or circuit (Q/V); SI unit: farad (F)."
caplessness,Absence of caps.
capriciousness,The quality of being capricious
captionlessness,Absence of a caption.
capturability,The quality of being capturable.
cardinality,"The property of a relationship between a database table and another one, specifying whether it is one-to-one, one-to-many, many-to-one, or many-to-many."
cardiogenicity,The quality of being cardiogenic.
cardlessness,Absence of a card or cards.
carefreedom,"The property of being lighthearted, joyous, cheerful, without a care."
carefreeness,"The property of being lighthearted, joyous, cheerful, without a care."
carelessness,Lack of care
caringness,The quality of being caring.
cariogenicity,The quality of being cariogenic.
carlessness,Lack of a car.
carness,The quality of being or resembling a car (vehicle)
carnivorousness,The quality of being a carnivore
case-sensitivity,The characteristic of being case sensitive; having different reactions to typed letters based on whether the letters are uppercase or lowercase.
case sensitivity,The characteristic of being case sensitive; having different reactions to typed letters based on whether the letters are uppercase or lowercase.
caselessness,Absence of grammatical case.
cashability,The quality of being cashable; ability to be cashed.
castability,The quality or degree of being castable.
castelessness,Absence of caste in society.
castrativeness,The quality of being castrative
catacrotism,Quality of being catacrotic.
catadicrotism,The quality of being catadicrotic.
catatricrotism,Quality of being catatricrotic.
catchability,The quality of being catchable.
categoricalness,"The quality of being categorical, positive, or absolute"
categoricity,The quality of being categorical
categorylessness,Absence of categories.
catholicity,"The quality of being catholic, universal or inclusive."
catholicness,The quality of being catholic; universality; catholicity.
catlessness,Absence of cats.
catlikeness,The quality of being catlike; felinity
catness,The quality of being a cat
cattiness,The quality of being catty; cattishness 2004 Ward Hunt et.al
cattishness,The property of being cattish.
caudation,The property of having a caudate extension or tail
cauliflory,Quality of being cauliflorous.
causativeness,The quality of being causative.
causticity,"The quality of being physically caustic; burning, corrosive"
ceilinglessness,Absence of a ceiling.
centrosymmetry,The property of having a centre of symmetry.
certifiability,The quality of being certifiable.
certificatelessness,Absence of a certificate.
chaffiness,Quality of being chaffy.
chainlessness,Absence of chains.
chairhood,The property of being a chair.
chairlessness,Absence of chairs.
chancelessness,Absence of chance or a chance.
chanciness,the quality of being chancy or risky; riskiness
changeability,The quality of being changeable; changeableness
chargelessness,Lack of charge.
charitableness,The quality of being charitable
charredness,The quality of being charred.
chartability,The quality or degree of being able to be represented as a chart.
chartlessness,Absence of charts.
chastenedness,Quality of being chastened.
chastity,The quality of being chaste: the state of abstaining from any sexual activity considered immoral; avoidance of sexual sins
chavvery,The quality of being chavvy.
chavviness,The quality of being chavvy
checkability,The quality of being checkable
checklessness,Absence of checks (financial instruments).
cheeselessness,Absence of cheese.
chemolithotrophy,The property of being chemolithotrophic.
chemoorganotrophy,The property of being chemoorganotrophic.
chequeredness,The quality of being chequered.
chertiness,The quality of being cherty.
chestiness,The quality of being chesty.
chewability,The quality or degree of being chewable
chicken-heartedness,The quality of being chicken-hearted; cowardice
chickenability,The quality of convenience and wide palatability in a consumer food product.
chieflessness,Absence of a chief.
chiefness,"Quality of being chief, or principal."
childfreeness,Absence of children.
chill,A lack of warmth and cordiality; unfriendliness
chimerism,The property of being a genetic chimera.
chinlessness,The quality of being chinless
chintziness,The quality of being chintzy.
chippiness,Quality of being chippy.
chocolatiness,The quality of being chocolaty
choicelessness,Absence of choice.
chokiness,Quality of being choky.
chondrogenicity,The quality of being chondrogenic
choosability,The property of being choosable.
chordality,The property of being chordal
chordlessness,Absence of chords.
chosenness,The quality of being chosen
chromaticness,The quality of being chromatic.
chromatophilia,The property of a cell that readily stains with an appropriate dye
chromophobia,The quality of being resistant to staining.
chronic toxicity,The capacity of a substance to cause long-term or delayed adverse health effects
chuckleheadedness,The quality of being chuckleheaded.
chuffiness,The quality of being chuffy.
churchiness,The quality of being churchy.
churchlessness,Absence of churches.
ciguatoxicity,The quality of being ciguatoxic.
ciliation,The quality of having cilia
ciliotoxicity,The quality of being ciliotoxic.
circulation,"The extent to which anything circulates or is circulated; the measurement of diffusion June 1 2016, Karen Roberts in the Evening Express, Aberdeen Journals - The Broad Street Years The reputation and circulation of the paper continued to grow, and the board decided a new custom-built base was required for both the Press and Journal and Evening Express to replace the crumbling, but much loved, Broad Street offices."
circumscribability,The quality of being possible to circumscribe.
cisness,The quality of being cisgender.
citability,The quality of being citable.
citylessness,Absence of cities.
civilizability,The quality or degree of being able to become civilized.
claimability,The quality of being claimable.
claimlessness,Absence of a claim.
clammishness,Quality of being clammish.
clang,Quality of tone.
clangorousness,The quality of being clangorous.
classhood,The property of being a class or category.
classic cool,The quality of timeless style.
classicalness,The quality of being classical.
clausehood,The property of being a clause.
clawlessness,Absence of claws.
clayeyness,The quality of being clayey
clayishness,The quality of being clayish.
clean-handedness,The quality of being clean-handed; honesty and freedom from wrong-doing
clean sheet,An absence of debts or indictments.
cleanliness,"The property of being cleanly, or habitually clean; good hygiene"
clear-sightedness,The property of being clear-sighted
clearedness,The quality of being cleared
clearheadedness,The quality of being clearheaded.
cleverishness,The quality of being cleverish.
cleverness,The property of being clever.
clichédness,The quality of being clichd.
clickability,"The quality of being clickable, of causing a particular action when clicked 2007, Virginia DeBolt, Mastering Integrated HTML and CSS[1], ISBN, page 208:If a more obvious clue that clearly communicates clickability, such as an underline, fails to appear on a web page, users might start desperately running the mouse around the page []"
clinicality,The quality of being clinical.
clitichood,The property of being a clitic.
clocklessness,Absence of clocks.
clockwiseness,The quality of being clockwise.
cloddishness,The quality of being cloddish.
clonability,The quality of being clonable
clonicity,The quality of being clonic.
closability,The property of being closable.
closedness,The property of being closed.
clotheslessness,Absence of clothes.
clothlessness,Absence of cloth or of clothing.
clottability,The quality or degree of being clottable.
clottiness,The quality of being clotty.
cloudiness,The property of being murky (e.g
cloudiness,The property of being obscure (e.g
cloudlessness,Absence of clouds.
cloyingness,The quality of being cloying.
clubbability,The quality of being clubbable.
clubbableness,Quality of being clubbable.
clumsiness,A lack of coordination or elegance; the condition or quality of being clumsy
clutterlessness,Absence of clutter.
coarseness,"The property of being coarse, roughness or primitiveness, unrefined or unpolished."
coatlessness,The lack of a coat (the garment).
cobordance,The quality of being cobordant.
cockeyedness,The quality of being cockeyed.
cockiness,The quality of being cocky
cocommutativity,The quality of being cocommutative
cocompactness,The property of being cocompact
cocompleteness,The quality of being cocomplete.
codedness,The quality of being coded.
codelessness,Absence of a code.
codgerhood,The quality of being a codger; grouchy old age or fogeydom
coercivity,The quality of being coercive
coethnicity,The quality of being coethnic.
coextensiveness,The property of being coextensive
cofinality,The property of being cofinal.
cofreeness,The property of being cofree
cogitability,The quality of being cogitable.
cognoscibility,The quality of being cognoscible
coherence,"The quality of cohering, or being coherent; internal consistency"
coherence,The property of having the same wavelength and phase.
coheritability,Quality of being coheritable
cohesionlessness,Absence of cohesion.
coilability,The quality of being coilable.
coinherence,The quality of coinhering; existence together.
coinlessness,Absence of coins.
coinstantaneousness,The quality of occurring at the same instant in time.
collaborativeness,quality of being collaborative
collapsibility,The extent to which something is collapsible
collarlessness,Absence of a collar.
collectibility,The quality of being collectible.
collection,The quality of being collected; calm composure.
collinearity,The extent to which something is collinear.
collisionlessness,Absence of collisions.
collusiveness,The quality of being collusive.
coloniality,The quality of being colonial.
color,"A property of quarks, with three values called red, green, and blue, which they can exchange by passing gluons."
color temperature,A property of a light source: the temperature of an ideal black body radiator that radiates light of a color comparable to that of the light source
coloration,The quality of being colored.
colorfastness,The characteristic of being colorfast.
colossalness,The quality of being colossal.
colour fastness,the quality of being colourfast
coltishness,"The quality of resembling a colt, especially: The quality of being lively, playful and undisciplined"
comblessness,Absence of a comb.
comedogenicity,"The quality of being comedogenic, or acne-producing."
comeliness,"Quality of being comely; beauty, attractiveness"
commalessness,The quality of being commaless.
commandability,The quality or degree of being commandable.
commensurability,The quality of being commensurable or commensurate
commodifiability,The property of being commodifiable.
commonness,The quality of being common.
communality,The extent to which something is communal
communicability,The quality of being communicable.
commutability,The quality of being commutable.
commutableness,The quality of being commutable or interchangeable.
comodernism,The property of being the dual of something modernistic
comparability,The quality of being comparable.
compensability,The characteristic of being compensable; the ability to be compensated.
compilability,The quality of being compilable.
complaisance,"The quality of being complaisant, amiable or agreeable"
completeness,The property of a logical theory that whenever a wff is valid then it must also be a theorem
complicitness,The quality of being complicit.
componency,The property of being a component or having components.
compositionality,The property of being compositional.
compossibility,The quality of being compossible.
compostability,The quality of being compostable.
compoundhood,The property of being a compound
comprehensibility,The characteristic of being comprehensible; clarity.
comprehensibleness,The quality of being comprehensible; comprehensibility.
compressibleness,The quality of being compressible.
compressive strength,The property of a material that relates to its ability to resist compression loads.
compunctiousness,The quality of being compunctious; compunction.
computability,The property of being computable by purely mechanical means.
computerizability,The quality of being computerizable.
concavo-convexity,The property of being concavo-convex.
concealability,The quality of being concealable
concealedness,Quality of being concealed
conceivability,"The characteristic of being conceivable; the ability to be conceived, believed, or understood."
conceptibility,The quality of being conceivable; conceivableness
conceptlessness,Absence of concepts.
concertedness,The quality of being concerted
conciseness,"The property of being concise, succinctness."
concurrency,A property of systems where several processes execute at the same time.
concussiveness,The quality of being concussive.
conditionability,The quality of being conditionable.
confessionlessness,Absence of confession.
confidentiality,The property of being confidential.
configurability,The property of being configurable
configurationality,The quality of being configurational.
confiningness,The quality of being confining.
confirmativity,The quality of being confirmative.
confirmedness,The quality of being confirmed.
conflictlessness,Absence of conflict.
confocality,The quality of being confocal.
confrontationality,The quality of being confrontational.
confusion,A lack of clarity or order.
congenericity,The quality of being congeneric.
congeniality,The quality of being congenial; the state of being agreeable or of having similar tastes
conglomerability,Quality of being conglomerable
conglomerateness,The quality of being conglomerate.
congruence,The quality of agreeing or corresponding; being suitable and appropriate.
congruence,"The quality of being isometric roughly, the same measure and shape."
congruency,The quality of agreeing; being suitable and appropriate
congruity,The quality of agreeing; the quality of being suitable and appropriate.
conicity,The quality of being conic.
conjugateness,The quality of being conjugate.
connectionlessness,Absence of a connection.
connubiality,The quality of being connubial.
conquerableness,The quality of being conquerable.
consciencelessness,Lack of conscience.
consecratedness,The property of having been consecrated.
consensualness,The quality of being consensual
consequencelessness,Absence of consequences.
consequentiality,The property of being consequential.
conservation,"lack of change in a measurable property of an isolated physical system (conservation of energy, mass, momentum, electric charge, subatomic particles, and fundamental symmetries)"
considerateness,The characteristic of being considerate.
consideredness,The quality of being considered.
consonanthood,"The property of being a consonant 1997, Hyeon-Kwan Cho, A Phonological Analysis of Consonantal Assimilations and Consonant-vowel Interactions, page 159:However, since timing tiers lack the information of consonanthood and vowelhood in other syllable theories, consonanthood and vowelhood must be defined in different ways depending on phonological theories"
conspicuity,The property of being clearly discernible
conspicuousness,The property of being clearly discernible by the mind; obviousness.
constancy,"The quality of being constant; steadiness or faithfulness in action, affections, purpose, etc"
constant,"Any property of an experiment, determined numerically, that does not change under given circumstances."
constitutionlessness,Absence of a constitution.
constructiveness,The characteristic of being constructive.
consubstantiality,The quality of being consubstantial
consultability,The property of being consultable; the ability to be consulted.
consumptivity,The quality or degree of being consumptive.
contabescence,The quality of being contabescent.
contactlessness,Absence of contact.
containerlessness,Absence of containers.
contemporality,The quality of being contemporary; contemporaneousness
contemptibility,The quality of being contemptible
contestability,The property of being contestable or debatable
contextlessness,Absence of context.
contextuality,The extent to which something is contextual
contingency,"The quality of being contingent, of happening by chance; unpredictability"
continuity,Lack of interruption or disconnection; the quality of being continuous in space or time
contortedness,The quality of being contorted.
contourlessness,Absence of contours.
contractibility,The quality or degree of being contractible
contractility,The extent to which something contracts or shrinks.
contractivity,The extent to which something is contractive.
contradictionlessness,Absence of contradiction.
contradictiveness,The quality of being contradictive.
contradistinction,The quality of being contradistinctive.
contrarity,The quality of being contrary.
contrastivity,The quality of being contrastive.
contrasuggestibility,The quality of being contrasuggestible.
contributiveness,The quality of being contributive.
contributivity,The quality of being contributive.
controllessness,Absence of control.
controllingness,The quality of being controlling
contronymy,The quality of being a contranym or including contranyms
contumaciousness,The property of being contumacious.
convenience,The quality of being convenient
conversationality,The quality of being conversational.
converseness,Quality of being converse.
convertibility,The quality of being convertible
convertibility,The quality of a currency of being exchangeable for gold or other currencies
convictiveness,The quality of being convictive.
convincedness,The quality of being convinced; belief or conviction.
convolutedness,The quality of being convoluted.
cookedness,Quality of being cooked.
cooklessness,Absence of a cook.
cool,"The property of being cool, popular or in fashion."
coonishness,The quality of being coonish.
cooperability,The extent to which something cooperates
copiability,The quality of being copiable; ability to be copied
copositivity,The property of being copositive
copperiness,"The quality of being coppery, or resembling copper"
coprimality,The quality of being coprime.
coprimeness,The property of being coprime.
copulability,The quality of being sexually receptive.
cordiality,The quality of being cordial
cordlessness,The property of being cordless; absence of a cord.
coreferentiality,The quality of being coreferential.
corelessness,Absence of a core.
coreness,The quality of being core
corkiness,The quality of being corky.
corporeity,The quality or fact of having a physical or material body
corpsehood,"death, quality of being dead 2012, Tina Whittle, Darker Than Any Shadow, Head of Zeus ISBN .."
corpuscularity,The quality of being corpuscular.
correctitude,"The quality of being correct 1921, Lytton Strachey, Queen Victoria[1]:Leopold himself must have envied such perfect correctitude; but what may be admirable in an elderly statesman is alarming in a maiden of nineteen"
correlatability,The quality of being correlatable.
correlatedness,The quality of being correlated.
corrodibility,The quality of being corrodible
corrosiveness,"The quality or property of corroding or being corrosive, of eating away or disintegrating; acrimony."
cost-effectiveness,The property of being cost-effective.
costlessness,The quality of being costless.
costliness,The characteristic of being costly.
cotemporaneousness,Quality of being cotemporaneous; existence or occurrence in the same time period.
cottonness,The quality of being cotton
coughlessness,Absence of coughs.
countability,The quality of being countable.
countedness,The quality of being counted.
countercyclicality,The quality of being countercyclical.
counterfactuality,The quality of being counterfactual.
counterfactualness,The quality of being counterfactual.
counterintuitiveness,The property of being counterintuitive
counterintuitivity,The quality of being counterintuitive.
counternormativity,The quality of being counternormative.
counterproductivity,The quality of being counterproductive.
countervailability,The characteristic of being countervailable; the ability to be countervailed; compensability
countlessness,The quality of being countless.
coupling,The property of physical systems that they are interacting with each other
courage,"The quality of being confident, not afraid or easily intimidated, but without being incautious or inconsiderate"
courteousness,The characteristic of being courteous.
courtliness,The quality of being courtly; refinement of manners.
covariability,"The quality of being covariable 2016 March 4, An Evidenced-Based Scale of Disease Severity following Human Challenge with Enteroxigenic Escherichia coli, in PLOS ONE[1], DOI:10.1371/journal.pone.0149358:Multiple correspondence analyses showed covariability in multiple signs and symptoms, with severity being the strongest factor corresponding across outcomes."
coverability,The extent to which something will cover or can be covered
coverlessness,Lack of a cover.
covertness,The characteristic of being covert.
cowardice,Lack of courage
cowardliness,The characteristic of being cowardly.
cowedness,The quality of being cowed.
cowlessness,Absence of cows.
cowness,The quality of being a cow.
coxcombicality,The quality of being coxcombical.
coyishness,The quality of being coyish.
coyness,The property of being coy.
crackpotitude,The quality of being crackpot
craftlessness,Absence of craft.
craftsmanship,The quality of being a craftsman.
creaselessness,Absence of creases.
creditability,The quality of being creditable.
creditlessness,Absence of financial credit.
creditworthiness,The property of being creditworthy.
creedlessness,Absence of creed.
crepiness,The quality of being crpy.
crepuscularity,The quality of being crepuscular.
crestedness,The property of being crested (or of having a specified type of crest)
crestfallenness,The quality of being crestfallen
crewlessness,Absence of a crew.
crimelessness,Absence of crime.
cringeworthiness,The property of being cringeworthy.
cringiness,The quality of being cringy.
criterionlessness,Absence of criteria.
criticizability,The quality of being criticizable.
croakiness,The quality of being croaky.
cross-grainedness,The quality of being cross-grained.
cross-handedness,The property of being cross-handed.
crossmodality,The quality of being crossmodal.
crossveinlessness,Absence of crossveins.
crowdlessness,Absence of crowds.
crucialness,The quality of being crucial.
cruddiness,The quality of being cruddy.
cruel-heartedness,The quality of being cruel-hearted; lack of compassion and kindness
crushability,The property of being capable of being crushed.
crushingness,The quality of being crushing.
crypticness,The quality of being cryptic.
cryptogenicity,"The property of being cryptogenic, i.e"
cubicity,The property of being cubic.
cuelessness,Absence of cues.
cufflessness,Absence of cuffs on clothing.
cultishness,The property of being cultish.
cultivability,The quality or degree of being cultivable.
culturability,The quality or degree of being culturable
culturelessness,Absence of culture.
cursivity,The quality of being cursive
cursoriality,The quality of being cursorial
curvature,The extent to which a subspace is curved within a metric space.
curvature,The extent to which a Riemannian manifold is intrinsically curved.
curvedness,The property of being curved.
curvelessness,Absence of curves.
cushiness,The quality of being cushy.
cuspidality,The quality of being cuspidal
cuttability,The quality or degree of being cuttable.
cuttingness,The quality or degree of being cutting.
cyberspatiality,The quality of being cyberspatial.
cyclability,The extent to which something is cyclable
cylindricality,The property of being cylindrical.
cylindricity,The quality of being cylindrical.
cynicality,The quality of being cynical.
cytopathogenicity,The quality of being cytopathogenic.
U-shapedness,The quality of being U-shaped.
Ugandanness,Quality of being Ugandan.
Ukrainianness,The quality of being Ukrainian.
Uruguayanness,Quality of being Uruguayan.
Uzbekness,Quality of being Uzbek.
Bahamianness,Quality of being Bahamian.
Bangladeshiness,Quality of being Bangladeshi.
Barbadianness,Quality of being Barbadian.
Belarusianness,The quality of being Belarusian.
Belgianness,The quality of being Belgian.
Bolivianness,Quality of being Bolivian.
Brazilianness,The quality or characteristic of being Brazilian.
Bruneianness,Quality of being Bruneian.
Bulgarianness,The quality of being Bulgarian.
Burmeseness,Quality of being Burmese.
kawaii,The quality of being kawaii; cuteness
kawaiiness,The quality of being kawaii; cuteness
keepability,"The quality or degree of being keepable, especially the extent to which food can be preserved."
keylessness,Absence of keys.
killability,The quality of being killable.
kindheartedness,The quality of being kindhearted.
kindhood,The quality of being of a kind or sort
kindredness,The quality of being kindred.
kindredship,The quality of being kindred.
kinglessness,Absence of a king.
kissability,The quality of being kissable.
kisslessness,Absence of kisses.
kitchenness,"The property of being or resembling a kitchen, or being appropriate for a kitchen."
kitschiness,The quality of being kitschy
kitschness,The quality of being kitsch
kittenness,The quality of being a kitten
klutziness,"The quality of being klutzy, or being a klutz."
knackeredness,Quality of being knackered.
knackiness,The quality of being knacky.
knavishness,The quality of being knavish.
knifelessness,Absence of knives.
knighthood,The quality of being a knight.
knightlihood,Quality of being knightly.
knittability,The quality or degree of being knittable.
knotfulness,Quality of being knotful.
knotlessness,Absence of knots.
know-it-allery,The quality of being a know-it-all
kosherness,The quality of being kosher
Californianness,The quality or characteristic of being Californian.
Cameroonianness,Quality of being Cameroonian.
Caucasianness,The quality of being Caucasian
Celticity,The quality of being Celtic.
Chechenness,The quality of being Chechen.
Chileanness,Quality of being Chilean.
Christlessness,Absence of Christ or the Christian faith.
Christlikeness,The quality of being Christlike.
Christliness,Quality of being Christly.
Christocentricity,The quality of being Christocentric.
Colombianness,The quality or characteristic of being Colombian.
Corsicanness,The quality of being Corsican.
Creoleness,The quality or characteristic of being a Creole
Croatness,The quality of being Croat.
Cubanness,Quality of being Cuban.
Cypriotness,The quality or characteristic of being Cypriot.
Czechness,The quality or characteristic of being Czech
Taiwaneseness,Quality of being Taiwanese.
Tajikness,Quality of being Tajik.
Tanzanianness,Quality of being Tanzanian.
Tibetanness,Quality of being Tibetan.
Trinidadianness,Quality of being Trinidadian.
Trumpiness,"The property of being Trumpy, being like Donald Trump But if you put all these theories aside, and look instead at his personality, then something different emerges--not Trump, but Trumpiness"
Trumpishness,The quality of being Trumpish
Tunisianness,Quality of being Tunisian.
Turkmenness,Quality of being Turkmen.
Tutsiness,Quality of being Tutsi.
Venetianness,The quality or characteristic of being Venetian.
Venezuelanness,The quality of being Venezuelan.
Vietnameseness,Quality of being Vietnamese.
Afghanness,Quality of being Afghan.
Afrocentricity,The quality of being Afrocentric.
Ainuness,Quality of being Ainu.
Americanness,The quality or characteristic of being American.
Americocentricity,The quality of being Americocentric.
Americocentrism,The quality of being Americocentric.
Amishness,The quality of being Amish.
Anglicity,The quality of being English.
Anglocentricity,The quality of being Anglocentric.
Angloness,The quality of being Anglo.
Arabianness,The quality of being Arabian.
Arabicness,The quality of being Arabic.
Arabness,The quality of being Arab.
Archimedean property,"A property of the set of real numbers, that for any real number there is always a natural number greater than that real number."
Aryanness,The quality of being Aryan.
Asianness,The quality or characteristic of being Asian.
Assyrianness,The quality or characteristic of being Assyrian.
Azerbaijaniness,Quality of being Azerbaijani.
sabulosity,The characteristic of being sabulous; sandiness; grittiness.
saccharinity,The quality of being saccharine: (extreme or excessive) sweetness (literal and figurative senses)
sacrality,The property of being sacral; sacredness.
sacredness,The property of being sacred.
sacrificeability,The quality of being sacrificeable.
sacrilegiousness,The quality of being sacrilegious.
sacrosanctity,The quality of being sacrosanct.
safeness,The property of being safe
sagacity,"The quality of being sage, wise, or able to make good decisions; the quality of being perceptive, astute or insightful"
sageness,The property of being sage.
saintlessness,Absence of saints.
saintliness,The property of being saintly.
salability,"The extent to which something can easily be sold 1988 May 13, Nancy Hamm, Fashion Final, in Chicago Reader[1]:Although even the most outrageous outfits would go on sale the next day, the salability of a ""medieval biker dress"" or ""paper bag shorts"" seemed a secondary consideration."
saliency,the quality of being salient; salience
salinity,The quality of being saline.
