term,definition
chinchillid,Any member of the Chinchillidae.
chiniquodontid,Any member of the Chiniquodontidae.
chionid,Any member of the Chionidae.
chirocentrid,Any member of the Chirocentridae; a wolf herring.
chirocephalid,Any member of the Chirocephalidae.
chirodipterid,Any member of the Chirodipteridae.
chirodropid,Any member of the Chirodropidae.
chironemid,Any member of the Chironemidae.
chirostylid,Any member of the family Chirostylidae.
chiroteuthid,Any member of the Chiroteuthidae.
chitonid,Any member of the Chitonidae.
chlamydoselachid,Any member of the shark genus Chlamydoselachus.
chlopsid,Any member of the Chlopsidae.
chlorocyphid,Any member of the Chlorocyphidae.
chloroperlid,Any member of the Chloroperlidae.
chloropid,Any member of the family Chloropidae (frit flies).
chondracanthid,Any member of the Chondracanthidae.
chondrinid,Any member of the Chondrinidae.
chondrosteid,Any member of the Chondrosteidae.
choreutid,Any member of the family Choreutidae of moths.
choristid,Any member of the family Choristidae of winged insects.
chronid,Any member of the Chronidae.
chroniosuchid,Any member of the Chroniosuchidae.
chrysidoid,Any member of the superfamily Chrysidoidea.
chrysochlorid,"Any member of the family Chrysochloridae, the golden moles."
chthamalid,"Any member of the family Chthamalidae, stalkless acorn barnacles in the order Sessilia."
chthoniid,Any member of the Chthoniidae.
chyromyid,Any member of the Chyromyidae.
cicadid,Any member of the Cicadidae.
cicindelid,Any member of the Cicindelidae.
cicindeline,"Any of the subfamily Cicindelinae of carabid beetles, the tiger beetles."
ciconiid,Any member of the Ciconiidae.
cidarid,Any member of the family Cidaridae of sea urchins.
ciid,Any member of the Ciidae.
cimbicid,Any member of the Cimbicidae.
cimid,Any member of the Cimidae.
cimoliasaurid,Any member of the Cimoliasauridae.
cimolodontan,Any of the taxon Cimolodonta of extinct mammals that lived from the Cretaceous to the Eocene.
cimolodontid,Any member of the Cimolodontidae.
cimolomyid,Any member of the Cimolomyidae.
cinclid,Any member of the Cinclidae.
cingulopsid,Any member of the Cingulopsidae.
cinosternoid,"Any member of the family Cinosternoidae, syn"
cioid,Any member of the family Ciidae (syn
cionid,Any member of the Cionidae.
cirolanid,Any member of the family Cirolanidae of isopod crustaceans.
cirratulid,Any member of the Cirratulidae.
cirrhitid,Any member of the Cirrhitidae.
cirrid,Any member of the Cirridae.
cirroteuthid,Any member of the Cirroteuthidae.
cisid,Any member of the Cisidae.
cissid,Any member of the Cissidae.
cistecephalid,Any member of the Cistecephalidae.
citharid,Any member of the Citharidae.
cixiid,Any member of the Cixiidae.
cladoselachid,Any member of the Cladoselachidae.
clariid,Any member of the Clariidae.
claroteid,Any member of the Claroteidae.
clathrinid,Any member of the Clathrinidae.
clausidiid,Any member of the Clausidiidae.
clausiid,Any member of the Clausiidae.
clausiliid,Any member of the Clausiliidae.
clavagellid,Any member of the Clavagellidae.
clavatulid,Any member of the Clavatulidae.
clavelinid,Any member of the Clavelinidae.
cleidothaerid,Any member of the Cleidothaeridae.
cleptobiont,Any organism that steals the food of another
climacoceratid,Any member of the Climacoceratidae.
climacterid,Any member of the Climacteridae.
clionaid,Any member of the Clionaidae.
clionitid,Any member of the Clionitidae.
cliopsid,Any member of the Cliopsidae.
clisospirid,Any member of the Clisospiridae.
clitellate,Any member of the Clitellata.
clubionid,Any member of the Clubionidae.
clupeomorph,A member of the fish superorder Clupeomorpha.
clusiid,Any member of the Clusiidae.
clypeosectid,Any member of the Clypeosectidae.
cobitid,Any member of the Cobitidae.
cocculinellid,Any member of the Cocculinellidae
cocculinid,Any member of the Cocculinidae.
cochleosaurid,Any member of the Cochleosauridae.
coelacanthid,Any member of the Coelacanthidae.
coelophysid,Any member of the Coelophysidae.
coelopid,Any member of the Coelopidae.
coelurid,Any member of the often revised family Coeluridae of dinosaurs.
coelurosauravid,Any member of the Coelurosauravidae.
coenagrionid,Any member of the Coenagrionidae.
coenobitid,Any member of the Coenobitidae.
coenomyiid,Any member of the Coenomyiidae.
coilopoceratid,Any member of the Coilopoceratidae.
coleiid,Any member of the Coleiidae.
coleophorid,Any member of the Coleophoridae.
colid,Any member of the Colidae.
coliid,Any member of the Coliidae.
colletid,Any member of the family Colletidae of solitary bees.
collignoniceratid,Any member of the Collignoniceratidae.
colloniid,Any member of the Colloniidae.
colombellinid,Any member of the Colombellinidae.
colossendeid,Any member of the Colossendeidae.
colosteid,Any member of the Colosteidae.
colubrariid,Any member of the Colubrariidae.
columbariid,Any member of the Columbariidae.
colydiid,Any member of the Colydiidae.
comasterid,Any member of the family Comasteridae of feather stars.
comephorid,Any member of the family Comephoridae of mail-cheeked fishes.
commensal,An organism partaking in a commensal relationship
commensalist,Any organism that practices commensalism
compsognathid,Any member of the family Compsognathidae of dinosaurss.
conchaspidid,Any member of the Conchaspididae.
condylocardiid,Any member of the Condylocardiidae.
confamilial,An organism belonging to the same taxonomic family as another.
congiopodid,Any member of the Congiopodidae.
congrid,Any member of the Congridae.
conopid,Any member of the Conopidae.
conopophagid,Any member of the Conopophagidae.
conspecific,An organism belonging to the same species as another
consumer,An organism (heterotroph) that uses other organisms for food in order to gain energy.
convolutid,Any member of the Convolutidae.
cophyline,"Any member of the Cophylinae, a subfamily of microhylid frogs."
copiotroph,Any organism that thrives in an environment rich in organic matter
copromorphid,Any member of the Copromorphidae.
coprophile,An organism (typically microorganisms and fungi) living off or growing in dung or other fecal matter.
coptoclavid,Any member of the Coptoclavidae.
coraciid,Any member of the Coraciidae.
coralliid,Any member of the Coralliidae.
coralliophilid,Any member of the Coralliophilidae.
corbulid,Any member of the Corbulidae.
cordulegasterid,Any member of the Cordulegasteridae.
cordulegastrid,Any member of the Cordulegastridae.
corduliid,Any member of the Corduliidae.
cordylid,Any member of the family Cordylidae.
coreid,Any member of the Coreidae.
corethrellid,Any member of the Corethrellidae.
corillid,Any member of the Corillidae.
corimelaenid,Any member of the Corimelaenidae.
corinnid,Any member of the family Corinnidae of sac spiders.
coriscid,Any member of the Coriscidae.
cormus,"An organism made up of a number of individuals, such as, for example, would be formed by a process of budding from a parent stalk where the buds remain attached."
cornulitid,Any member of the extinct order Cornulitida of encrusting animals from the Tentaculita class
coronulid,"Any member of the family Coronulidae, stalkless acorn barnacles in the order Sessilia."
corophiid,Any member of the Corophiidae.
corycaeid,Any member of the Corycaeidae.
corylophid,Any member of the amily Corylophidae of minute hooded beetles.
corynid,Any member of the family Corynidae of hydrozoans.
coryphaenid,Any member of the Coryphaenidae.
coryphene,A fish of the genus Coryphaena.
corystid,Any member of the Corystidae.
corytophanid,Any member of the family Corytophanidae.
cosmetid,Any member of the family Cosmetidae of spiders.
cosmocercid,Any member of the Cosmocercidae.
cosmopterigid,Any member of the Cosmopterigidae.
cosmopterygid,Any member of the Cosmopterygidae.
costellariid,Any member of the Costellariidae.
cotingid,Any member of the Cotingidae.
cottid,Any member of the Cottidae.
cottocomephorid,Any member of the Cottocomephoridae.
crabronid,"Any member of the Crabronidae, a large family of wasps."
cracticid,Any member of the Cracticidae.
cranchiid,Any member of the family Cranchiidae.
crangonid,Any member of the Crangonidae.
crangonyctid,Any member of the Crangonyctidae.
craniate,"Any member of the clade Craniata, having bony skulls."
craniid,Any member of the Craniidae.
cranoglanidid,Any member of the Cranoglanididae.
crassatellid,Any member of the Crassatellidae.
cravenoceratid,Any member of the Cravenoceratidae.
creediid,Any member of the Creediidae.
crellid,Any member of the Crellidae.
cressid,Any member of the Cressidae.
cretoxyrhinid,Any member of the Cretoxyrhinidae.
cribrilinid,Any member of the Cribrilinidae.
cricetid,"Any member of the Cricetidae, a family of rodents."
crinoidean,Any of the Crinoidea.
criocone,"An organism or fossil with a crioconic shell, or such a shell itself"
criodrilid,Any member of the Criodrilidae.
crocodylid,Any member of the Crocodylidae.
crossbred,"Any organism produced by breeding from two breeds, varieties, or species."
crossbreed,An organism produced by mating of individuals of different varieties or breeds.
crotaloid,"Any member of the Crotalinae, formerly known as Crotaloidae."
crotaphytid,"Any member of the Crotaphytidae, or collared lizards."
crotonid,Any member of the family Crotonidae of mites.
crurotarsan,"Any of the Crurotarsi, a taxonomic group including the archosaurs and phytosaurs."
cryophile,an organism that thrives at low temperatures Synonym: psychrophile
cryptacanthodid,Any member of the Cryptacanthodidae.
cryptobiont,Any organism capable of cryptobiosis
cryptobranchid,Any of the Cryptobranchidae; a giant salamander.
cryptocelid,Any member of the Cryptocelidae.
cryptocercid,Any member of the Cryptocercidae.
cryptochirid,Any member of the Cryptochiridae.
cryptocleidid,Any member of the Cryptocleididae.
cryptoclidid,Any member of the Cryptoclididae.
cryptodiran,"Any member of the Cryptodira, the taxonomic suborder of Testudines that includes most living tortoises and turtles."
cryptodire,"Any member of the Cryptodira, the taxonomic suborder of Testudines that includes most living tortoises and turtles."
cryptoendolith,Any organism that colonizes structural cavities within porous rocks
cryptoniscid,Any member of the Cryptoniscidae.
cryptophagid,Any member of the Cryptophagidae.
cryptoplacid,Any member of the Cryptoplacidae.
ctenid,Any member of the Ctenidae.
ctenizid,Any member of the Ctenizidae.
ctenodactylid,Any of the several rodents of the family Ctenodactylidae
ctenoidean,Any member of the Ctenoidei.
ctenoplanid,Any member of the Ctenoplanidae.
ctenosauriscid,Any member of the Ctenosauriscidae.
ctenostylid,Any member of the Ctenostylidae.
ctenuchid,Any member of the Ctenuchidae.
cucujid,Any member of the Cucujidae.
cuculid,"Any of the family Cuculidae of near-passerine birds, the cuckoos."
cucullaeid,Any member of the Cucullaeidae.
cucumariid,Any member of the Cucumariidae.
culicid,Any member of the Culicidae.
cuniculid,Any member of the Cuniculidae.
cupedid,Any member of the Cupedidae.
curimatid,Any member of the Curimatidae.
curtonotid,Any member of the Curtonotidae.
cuspidariid,Any member of the Cuspidariidae.
cuterebrid,Any member of the Cuterebridae.
cyamiid,Any member of the Cyamiidae.
cyamodontid,Any member of the Cyamodontidae.
cyaneid,Any member of the Cyaneidae.
cyatholipid,Any member of the Cyatholipidae.
cybaeid,Any member of the Cybaeidae.
cybiid,Any member of the Cybiidae.
cycadeoid,Any of the extinct plants of the order Bennettitales
cycliophoran,"A member of the phylum Cycliophora, rare aquatic invertebrates living in the mouths of lobsters"
cyclocoelid,Any member of the Cyclocoelidae.
cycloctenid,Any member of the Cycloctenidae.
cycloganoid,"Any of the Cycloganoidei, a group of fishes."
cyclophorid,Any member of the Cyclophoridae.
cyclophyllid,Any of the Cyclophyllidea; a kind of parasitic worm.
cyclopid,Any member of the Cyclopidae.
cyclopterid,Any member of the Cyclopteridae.
cyclorhagid,Any member of the taxonomic order Cyclorhagida of worms
cyclostrematid,Any member of the Cyclostrematidae.
cycloteuthid,Any member of the Cycloteuthidae.
cyclotornid,Any member of the Cyclotornidae.
cydippid,"Any of the Cydippida, an order of comb jellies with spherical or oval bodies."
cylichnid,Any member of the Cylichnidae.
cylindroleberidid,Any member of the Cylindroleberididae.
cylindrotomid,Any member of the Cylindrotomidae.
cymatiid,Any member of the Cymatiidae.
cymatoceratid,Any member of the Cymatoceratidae.
cymbuliid,Any member of the Cymbuliidae.
cymothoid,Any member of the Cymothoidae.
cynipid,Any member of the family Cynipidae of wasps.
cynocephalid,"Any member of the family Cynocephalidae, the colugos or flying lemurs."
cynodontid,Any member of the Cynodontidae.
cynognathid,Any member of the Cynognathidae.
cypraeid,Any member of the Cypraeidae.
cypridid,Any member of the Cyprididae.
cypridinid,Any member of the Cypridinidae.
cyprinodont,"Any of the Cyprinodontidae, a family of fishes including the killifishes or minnows."
cypselosomatid,Any member of the Cypselosomatidae.
cyrtaucheniid,Any member of the Cyrtaucheniidae.
cyrtid,Any member of the Cyrtidae.
cystiscid,Any member of the Cystiscidae.
cystopeltid,Any member of the Cystopeltidae.
cytherellid,Any member of the Cytherellidae.
cyttid,Any member of the Cyttidae.
kalotermitid,Any member of the family Kalotermitidae of termites.
kannemeyerid,Any member of the Kannemeyeridae.
kannemeyeriid,Any member of the Kannemeyeriidae.
karaurid,Any member of the Karauridae.
katharobe,"An organism that lives in pure water, or water of very low organic content."
kathlaniid,Any member of the Kathlaniidae.
katsuwonid,Any member of the Katsuwonidae.
kenkiid,Any member of the Kenkiidae.
kentriodontid,Any member of the Kentriodontidae.
keraterpetontid,Any member of the Keraterpetontidae.
kermesid,Any member of the Kermesidae.
keroplatid,Any member of the Keroplatidae.
kerriid,Any member of the Kerriidae.
kinetofragminophoran,Any member of the Kinetofragminophora.
kinosternid,Any member of the Kinosternidae.
kionoceratid,Any member of the Kionoceratidae.
kiwaid,Any member of the Kiwaidae.
kleptoplast,Any organism in a kleptoplastic relationship
kneriid,Any member of the Kneriidae.
kogaionid,Any member of the Kogaionidae.
kogiid,Any member of the Kogiidae.
kuehneosaurid,Any member of the Kuehneosauridae.
kuehneotheriid,Any member of the Kuehneotheriidae.
kuhliid,Any member of the Kuhliidae.
kurtid,Any member of the Kurtidae.
kutorginid,Any member of the Kutorginidae.
sabaconid,Any member of the family Sabaconidae of harvestman spiders.
sabellariid,Any member of the Sabellariidae.
saccocirrid,Any member of the Saccocirridae.
sacculinid,"Any of the family Sacculinidae, parasitic barnacles in the superorder Rhizocephala."
sachitid,Any member of the Sachitidae.
sagartiid,Any member of the Sagartiidae.
sagdid,Any member of the Sagdidae.
sagittarid,Any member of the Sagittaridae.
sagittariid,Any member of the Sagittariidae.
sailfin,"Any organism having such a fin, such as a mollie (Poecilia latipinna) or a lizard of the genus Hydrosaurus."
salangid,Any member of the family Salangidae.
salpid,Any member of the family Salpidae.
salpingid,Any member of the Salpingidae.
saltasaurid,Any member of the Saltasauridae.
samarid,Any member of the family Samaridae of certain flatfishes.
samoid,Any member of the family Samoidae of harvestman spiders.
sapphirinid,Any member of the Sapphirinidae.
saprobe,An organism that lives off of dead or decaying organic material
sapromyzid,Any member of the Sapromyzidae.
saprophyte,"any organism that lives on dead organic matter, as certain fungi and bacteria Synonym: saprobe Hyponym: myco-heterotroph"
saprotroph,An organism that lives off of dead or decaying organic material by secreting enzymes into it and then absorbing its nutrients.
saprovore,Any organism that feeds on detritus
saproxylic,Any organism that lives in decaying wood
sapygid,Any member of the Sapygidae.
sarcocystid,Any member of the Sarcocystidae
sarcophagid,Any member of the Sarcophagidae.
sarcopsyllid,Any member of the Sarcopsyllidae.
saturniine,Any member of the Saturniinae subfamily of moths.
saurichthyid,Any member of the Saurichthyidae.
sauropsid,"A member of the Sauropsida, a comprehensive group of vertebrates comprising the reptiles and birds."
sauropsidan,Any member of the Sauropsida.
saurornithoidid,Any member of the Saurornithoididae.
saxicava,Any of the marine bivalve shells of the genus Saxicava.
scaleback,"Any member of numerous species of marine annelids of the Polynoidae family, with two rows of scales, or elytra, along the back."
scalidophoran,Any organism of the clade Scalidophora
scaloposaurid,Any member of the Scaloposauridae.
scaphandrid,Any member of the Scaphandridae.
scaphiophrynine,Any of the microhylid frogs in the subfamily Scaphiophryninae.
scaphiopodid,Any member of the Scaphiopodidae.
scaphognathid,Any member of the Scaphognathidae.
scaritid,Any of the carabid beetles of Scarites or related genera.
scaritine,Any of the subfamily Scaritinae of carabid beetles.
scathophagid,Any member of the Scathophagidae.
scatopsid,Any member of the Scatopsidae.
scelionid,Any member of the Scelionidae.
scenellid,Any member of the Scenellidae.
scenopinid,Any member of the Scenopinidae.
schilbeid,Any member of the Schilbeidae.
schilbid,Any member of the Schilbidae.
schistoceratid,Any member of the Schistoceratidae.
schistosomatid,Any member of the Schistosomatidae.
schizocoral,Any member of the order Tabulata (or Schizocoralla) of tabulate corals.
schizopod,Any of the Schizopoda.
schizopodid,Any member of the Schizopodidae.
schizoporellid,Any member of the Schizoporellidae.
schloenbachiid,Any member of the Schloenbachiidae.
sciaenoid,"Any of the Sciaenidae, a family of marine fishes."
sciarid,Any member of the Sciaridae.
scincid,"Any member of the family Scincidae, the skinks."
scincomorph,Any member of the Scincomorpha.
scincosaurid,Any member of the Scincosauridae.
sciomyzid,Any member of the Sciomyzidae.
scirtid,Any member of the Scirtidae.
scissurellid,Any member of the Scissurellidae.
sciurid,Any member of the Sciuridae.
sclerobiont,"Any organism that lives on a hard surface, or bores into one"
sclerorhynchid,Any member of the Sclerorhynchidae.
sclerosomatid,Any member of the Sclerosomatidae.
scolecid,"Any member of the Scolecida, an infraclass of polychaete worms."
scolecomorphid,Any member of the Scolecomorphidae.
scoliid,Any member of the Scoliidae.
scolopendrid,Any member of the Scolopendridae.
scolopendromorph,Any member of the Scolopendromorpha.
scoloplacid,Any member of the Scoloplacidae.
scomberesocid,Any member of the Scomberesocidae.
scombrolabracid,Any member of the Scombrolabracidae.
scombropid,Any member of the Scombropidae.
scopelid,Any member of the family Scopelidae of deep-sea fish.
scophthalmid,Any member of the Scophthalmidae.
scopid,"Any member of the family Scopidae, the hammerkop, an African wading bird."
scorpaenid,Any member of the Scorpaenidae.
scraptiid,Any member of the Scraptiidae.
scurid,Any member of the Scuridae.
scutellerid,"Any member of the family Scutelleridae, the shield-backed bugs."
scutibranch,Any member of the Scutibranchiata.
scydmaenid,Any member of the Scydmaenidae.
scylacosaurid,Any member of the Scylacosauridae.
scyliorhinid,Any member of the Scyliorhinidae.
scyllaeid,Any member of the Scyllaeidae.
scyllarian,"Any of the family Scyllaridae of macruran crustaceans with depressed body and broad, flat antennae."
scyllarid,Any member of the Scyllaridae.
scytalinid,Any member of the family Scytalinidae of very slender burrowing fish called graveldivers.
scythridid,Any member of the Scythrididae.
scytodid,Any member of the Scytodidae.
sealife,organisms (especially fish) that live in the sea.
sebastid,Any member of the Sebastidae.
sebecid,Any member of the Sebecidae.
sebecosuchian,"Any of the Sebecosuchia, an extinct group of mesoeucrocodylian crocodyliforms."
sebid,Any member of the family Sebidae of crustaceans.
segestriid,Any member of the Segestriidae.
segnosaurid,Any member of the Segnosauridae.
segregant,An organism that is the result of segregation; a segregate
seguenziid,Any member of the Seguenziidae.
seisonid,Any member of the family Seisonidae of rotifers.
sejid,Any member of the Sejidae.
selachian,Any organism of the superorder Selachimorpha or subclass Elasmobranchii; an extant shark (or related species)
selenopid,Any member of the Selenopidae.
selenosteid,Any member of the Selenosteidae.
seleucid,Any member of the Seleucidae.
sematurid,Any member of the Sematuridae.
semelid,Any member of the family Semelidae of venus shells.
senoculid,Any member of family Senoculidae of spiders.
sepiadariid,Any member of the Sepiadariidae.
sepiid,Any member of the family Sepiidae of certain cuttlefish.
sepsid,Any member of the family Sepsidae of black scavenger flies.
sergestid,Any member of the family Sergestidae of decapods.
serolid,Any member of the family Serolidae of certain isopod crustaceans.
serpenticone,"An organism or fossil with a serpenticonic shell, or the shell itself"
serrasalmid,Any member of the Serrasalmidae.
serricorn,"Any member of an obsolete taxonomic grouping within the beetles, the Serricornia, which was approximately equivalent to the modern infraorder Elateriformia."
serrivomerid,Any member of the Serrivomeridae.
sesarmid,Any member of the family Sesarmidae of crabs.
seymouriid,Any member of the Seymouriidae.
shartegosuchid,Any member of the Shartegosuchidae.
shinisaurid,Any member of the family Shinisauridae
shumarditid,"Any member of the Shumarditidae, extinct shelled cephalopods."
shuvosaurid,Any member of the Shuvosauridae.
sicariid,Any member of the Sicariidae.
sicyoniid,Any member of the Sicyoniidae.
siderastreid,Any member of the Siderastreidae.
sierolomorphid,Any member of the Sierolomorphidae.
sigmodont,"Any of the Sigmodontinae tribe of rodents, including all the indigenous rats and mice of America."
signiphorid,Any member of the Signiphoridae of parasitic wasps
silesaurid,Any member of the Silesauridae.
siliquariid,Any member of the Siliquariidae.
sillaginid,Any member of the Sillaginidae.
silvanid,Any member of the family Silvanidae of flat bark beetles.
simenchelyid,Any member of the Simenchelyidae.
simiiform,Any member of the Simiiformes.
simuliid,Any member of the Simuliidae.
sinentomid,Any member of the Sinentomidae.
sinraptorid,Any member of the Sinraptoridae.
sinuitid,Any member of the Sinuitidae.
sinuopeid,Any member of the Sinuopeidae.
siphonophoran,Any of the Siphonophorae.
siphonostomatoid,"Any member of the Siphonostomatoida, an order of maxillopods."
sipunculid,Any member of the clade Sipuncula
sipunculid,"Any member of the family Sipunculidae, the peanut worms."
sipunculoid,Any of the Sipunculidea.
sirenid,Any member of the family Sirenidae of salamanders.
siricid,"Any of the family Siricidae of horntails, certain woodwasps."
sironid,Any member of the Sironidae.
sisorid,Any member of the Sisoridae.
sisyrid,Any member of the Sisyridae.
sivaladapid,Any member of the Sivaladapidae.
skeneid,Any member of the family Skeneidae of marine snails.
skeneopsid,Any member of the Skeneopsidae.
smaridid,Any member of the Smarididae.
sminthurid,Any of the family Sminthuridae of springtails.
smittinid,Any member of the Smittinidae.
snakehead,"A family of perciform fish native to Africa and Asia, Channidae"
solanderiid,Any of the family Solanderiidae of cnidarians within the class Hydrozoa
solasterid,Any member of the family Solasteridae of sea stars.
solecurtid,Any member of the Solecurtidae.
solemyid,Any member of the Solemyidae.
solenacean,Any member of several species of marine bivalve shells belonging to the family Solenidae.
solenodontid,Any member of the Solenodontidae.
solenofilomorphid,Any member of the Solenofilomorphidae.
solenogaster,"Any of the Solenogastres, a class (sometimes a subclass) of small worm-like mollusks with no shell."
solenopleurid,Any member of the Solenopleuridae.
solenostomid,Any member of the Solenostomidae.
somniosid,Any member of the Somniosidae.
somoholitid,Any member of the Somoholitidae.
sooglossid,Any member of the Sooglossidae.
soricid,Any member of the Soricidae.
soricine,Any member of the shrew family (Soricidae).
sparassid,Any member of the Sparassidae.
sparassodont,"Any of the Sparassodonta, an extinct order of carnivorous metatherian mammals native to South America."
spatangid,Any member of the Spatangidae.
specialist,An organism that is specialized for a particular environment
speleonectid,Any member of the Speleonectidae.
sphaeriid,Any member of the Sphaeriidae.
sphaeritid,Any member of the Sphaeritidae.
sphaerocerid,Any member of the Sphaeroceridae.
sphaerodactylid,Any member of the family Sphaerodactylidae.
sphaeromatid,Any member of the Sphaeromatidae.
sphaeropsocid,Any member of the Sphaeropsocidae.
sphagnid,Any member of the Sphagnidae.
sphargid,Any member of the Sphargidae.
sphenacodontid,Any member of the Sphenacodontidae.
spheniscid,Any member of the Spheniscidae.
sphenodont,Any member of the order Sphenodontida.
sphenodontid,Any member of the order Sphenodontida.
sphenopid,Any member of the Sphenopidae.
sphenosuchian,Any member of the Sphenosuchia.
sphenosuchid,Any member of the Sphenosuchidae.
spherocone,"An organism or fossil with a spheroconic shell, or the shell itself."
spheromere,Any of the symmetrical segments arranged around the central axis and composing the body of a radiate animal.
sphex,Any of the sand wasps of Sphex and allied genera.
sphindid,Any member of the Sphindidae.
sphyraenid,Any member of the Sphyraenidae.
sphyrnid,Any member of the Sphyrnidae.
spinosaurid,Any member of the Spinosauridae.
spintherid,Any member of the Spintheridae.
spinturnicid,Any member of the Spinturnicidae.
spionid,Any member of the Spionidae.
spiraxid,Any member of the Spiraxidae.
spiroceratid,Any member of the Spiroceratidae.
spiroplectamminid,Any member of the Spiroplectamminidae.
spirorchiid,Any member of the Spirorchiidae.
spirurid,Any member of the Spiruridae
splanchnotrophid,Any member of the Splanchnotrophidae.
spondylid,Any member of the Spondylidae.
spongillid,Any member of the Spongillidae.
spongivore,Any organism that feeds on sponges
spongodiscid,Any member of the Spongodiscidae.
sportellid,Any member of the Sportellidae.
sportive lemur,Any of the lemurs in the family Lepilemuridae
sporulator,An organism that produces spores
squalid,Any member of the family Squalidae of dogfish sharks
squalodont,Any of the extinct genus Squalodon of whales.
squalodontid,Any member of the Squalodontidae.
squalomorph,"Any member of the Squalomorphii, a superorder of cartilaginous fishes."
squalorajid,Any member of the Squalorajidae.
squatinid,Any member of the Squatinidae.
squillid,Any member of the Squillidae.
stagonolepidid,Any member of the Stagonolepididae.
stahleckeriid,Any member of the Stahleckeriidae.
staphylinid,"Any of the beetle family Staphylinidae, the rove beetles."
staurikosaurid,Any member of the Staurikosauridae.
steatornithid,Any member of the Steatornithidae.
steganopod,Any of the Steganopodes.
stegocephalid,Any member of the Stegocephalidae.
stegodon,Any member of the extinct genus Stegodon; a stegodont.
stegodontid,Any member of the Stegodontidae.
stegosaurid,Any member of the family Stegosauridae of dinosaurs.
stenochilid,Any member of the Stenochilidae.
stenoderm,Any of the bats resembling that of the genus Stenoderma.
stenoplesictid,Any member of the Stenoplesictidae.
stenopodid,Any member of the Stenopodidae.
stenopsocid,Any member of the Stenopsocidae.
stenopsychid,Any member of the Stenopsychidae.
stenopterygiid,Any member of the Stenopterygiidae.
stenostirid,Any member of the Stenostiridae.
stenostomid,Any member of the Stenostomidae (a family of flatworms)
stenothecid,Any member of the Stenothecidae.
stenotherm,"An organism, often specifically an ectotherm, that functions only within a narrow temperature range"
stenothyrid,Any member of the Stenothyridae.
stenotritid,Any member of the Stenotritidae.
stephanid,Any member of the Stephanidae.
stephanoberycid,Any member of the Stephanoberycidae.
stephanoceratid,Any member of the Stephanoceratidae.
stephanocircid,Any member of the Stephanocircidae.
stercorarid,Any member of the Stercoraridae.
stercorariid,Any member of the Stercorariidae.
sternophorid,Any member of the Sternophoridae.
sternopygid,Any member of the Sternopygidae.
stethacanthid,Any member of the Stethacanthidae.
stichaeid,Any member of the Stichaeidae.
stichodactylid,Any member of the Stichodactylidae.
stichopodid,Any member of the Stichopodidae.
stictococcid,Any member of the Stictococcidae.
stigmellid,Any member of the Stigmellidae.
stiliferid,Any member of the Stiliferidae.
stiligerid,Any member of the Stiligeridae.
stilipedid,Any member of the Stilipedidae.
stiphidiid,Any member of the Stiphidiidae.
stirps,A superfamily of animals or plants.
stolidobranch,Any of the Stolidobranchia.
stomapod,Any of the Stomapoda.
stomatellid,Any member of the Stomatellidae.
stomatode,Any of the Stomatoda.
stomatopod,A member of the Stomatopoda order of marine crustaceans; a mantis shrimp
stratiomyid,Any member of the Stratiomyidae.
stratiomyiid,Any member of the Stratiomyiidae.
streblid,Any member of the family Streblidae (now in Hippoboscidae) similar to botflies.
strepsirrhine,"Any member of the clade Strepsirrhini, one of the two suborders of primates."
streptaxid,Any member of the Streptaxidae.
streptocephalid,Any member of the Streptocephalidae.
stressee,"an organism that is stressed 2007, Ana Maria Davila Gomez, David Crowther, Ethics, Psyche and Social Responsibility - Page 95 ""Is the problem with the stressor or the stressee, or is it the match between the two?"""
strigid,Any member of the Strigidae (i.e
strigoceratid,Any member of the Strigoceratidae.
strobilopsid,Any member of the Strobilopsidae.
strombid,Any member of the Strombidae.
strombus,Any of the genus Strombus of marine gastropods in which the shell has the outer lip dilated into a broad wing.
strongylocentrotid,Any member of the Strongylocentrotidae.
strongylophthalmyiid,Any member of the Strongylophthalmyiidae.
strophocheilid,Any member of the Strophocheilidae.
strophomenid,"Any of the Strophomenida, a large extinct order of articulate brachiopods."
struthiolariid,Any member of the Struthiolariidae.
struthionid,Any member of the Struthionidae.
sturionian,One of the family of fishes of which the sturgeon is the type.
sturnid,Any member of the Sturnidae.
styelid,Any member of the Styelidae.
stygiobiont,"Any organism that lives in permanent darkness, typically in deep caves"
stylaster,Any of the genus Stylaster of calcareous hydroid corals.
stylephorid,Any member of the Stylephoridae.
stylinodontid,Any member of the Stylinodontidae.
stylocellid,Any member of the Stylocellidae.
stylodactylid,Any member of the Stylodactylidae.
styloniscid,Any member of the Styloniscidae.
stylopid,Any member of the Stylopidae.
subergorgiid,Any member of the Subergorgiidae.
suberitid,Any member of the Suberitidae.
subtroglophile,Any organism that lives in caves for part of the time
subulinid,Any member of the Subulinidae.
subulitid,Any member of the Subulitidae.
subulurid,Any member of the family Subuluridae of nematodes
subvirus,"An organism or substance, such as a viral protein, that is smaller than a virus and has some viral properties"
succineid,Any member of the Succineidae.
sudamericid,Any member of the Sudamericidae.
suid,Any of the family Suidae of pigs and related creatures.
sulid,Any member of the family Sulidae of gannets and boobies.
superparasite,Any organism that infests another in very large numbers
suprabenthos,The organisms that live on the sea floor but migrate above it seasonally or daily
sycettid,Any member of the Sycettidae.
syllid,Any member of the family Syllidae.
sylvicolid,Any member of the Sylvicolidae.
symbiont,An organism that lives in a symbiotic relationship; a symbiote.
