term,definition
dialing,The act by which a number is dialed
diamagnetization,"The act of making something, or of something becoming, diamagnetic"
diandry,The practice of having two husbands.
diapering,The act of clothing somebody in a diaper
diarism,The practice of writing a diary
diaskeuasis,The process of reviewing or revising a text.
diathermocoagulation,The use of diathermy to cauterize blood vessels and reduce bleeding
dichotomization,The act of dichotomizing or the thing dichotomized; classification.
dictation,"The act of ordering or commanding 1852: Lysander Spooner, An Essay on the Trial by Jury - ...jurors in England have formerly understood it to be their right and duty to judge only according to their consciences, and not to submit to any dictation from the court, either as to law or fact."
didacticization,The process of making something didactic.
diesel laundering,"The process of removing the dyes added to untaxed diesel fuel, to enable it to be sold illegally as regular fuel at a substantial markup."
diesinking,The process of engraving dies.
dieting,The act of following a diet
differential diagnosis,"The process of determining which disease, from a set of possible candidates, is causing a patient's symptoms."
differentiation,The act of differentiating.
differentiation,"The act of distinguishing or describing a thing, by giving its different, or specific difference; exact definition or determination."
differentiation,The process of separation of cooling magma into various rock types.
differentiation,The process of determining the derived function of a function.
diffission,The act of cleaving or splitting
diffusion,"The act of diffusing or dispersing something, or the property of being diffused or dispersed; dispersion."
diffusion,The movement of water vapor from regions of high concentration (high water vapor pressure) toward regions of lower concentration.
diffusiophoresis,The movement of colloidal particles in a fluid due to a gradient in the concentration of another species.
digital medicine,The use of computer technology in medical treatment.
digital remastering,"A process of creating a digital master from existing analog recordings Thanks to digital remastering, you can really hear the sound of the music at last."
dignification,The act of dignifying; exaltation.
digression,"The act of straying from the main subject in speech or writing, (rhetoric) particularly for rhetorical effect"
dijudication,The act of dijudicating; judgement
diking,The process of building a dike.
dilapidation,"The act of dilapidating, damaging a building or structure through neglect or intentionally."
dilatation,The act of dilating; expansion; an enlarging on all sides; the state of being dilated Synonym: dilation
dilation,The act of dilating.
dilatometry,The measurement of changes in volume that accompany some other physical phenomenon
dilettantism,"The act of behaving like a dilettante, of being an amateur or ""dabbler"", sometimes in the arts"
diligence,"The process by which persons, lands, or effects are seized for debt; process for enforcing the attendance of witnesses or the production of writings."
dilution,The process of making something dilute.
dimensionalization,The process of dimensionalizing
dimidiation,The act of dividing into halves.
diminishment,"The act of diminishing; reducing in size, quantity, or quality"
diminutivization,the process of turning a word into its diminutive form
dimming,The process of becoming dim
dip,The action of dipping or plunging for a moment into a liquid
diphthongisation,The process by which a single vowel sound (monophthong) shifts to a two-vowel vocalization (diphthong).
dipping,The act of inclining downward.
dipping,"The act of lifting or moving a liquid with a dipper, ladle, or the like."
dipping,"The process of cleaning or brightening sheet metal or metalware, especially brass, by dipping it in acids, etc."
dipping,"The use of dipping tobacco (moist snuff) in the mouth, usually between the lip and gum or cheek and gum in the lower or upper part of the mouth."
direption,"The act of plundering, despoiling, or snatching away"
dirty bulking,The practice of eating a caloric surplus without paying attention to the balance of macronutrients.
dirty business,the practice of unethical methods
disablement,The action of disabling or the state of being disabled
disaffirmance,The act of disaffirming; denial.
disaffirmation,The act of denial; a declaration that something is not true.
disallowance,"The action of not allowing, or of withdrawing allowance."
disappearance,The action of disappearing or vanishing.
disappropriation,The act of disappropriating; of taking something away from someone.
disapproval,The act of disapproving; condemnation.
disarmament,The act of disarming an opponent in a fight
disarticulation,The act of disarticulating.
disassembly,The process of disassembling.
disassimilation,"The act of becoming less assimilated or integrated, particularly of ethnic groups"
disattachment,The process of disattaching; the removal of something attached.
disbandment,The act of disbanding
disbursal,The act of disbursing money.
disc rot,The process by which optical discs become unreadable due to physical or chemical deterioration.
discalceation,The act of removing footwear.
discarding,The act by which something is discarded; a throwing away.
discardment,The act of discarding or throwing away.
discerption,The act of pulling or tearing something to pieces
discharge,The act of accomplishing (an obligation) or repaying a debt etc.; performance
discharge,The act of expelling or letting go.
discharge,"The act of firing a projectile, especially from a firearm"
discharge,The process of unloading something.
discharge,The process of flowing out.
discharge,The act of releasing an accumulated charge.
discharge,The act of releasing an inpatient from hospital.
discharge,The act of releasing a member of the armed forces from service.
disciplining,The use of punishment to compel behavior.
disclamation,the act of disclaiming or something disclaimed
disclosure,The act of revealing something
discoloration,"The act of discoloring, or the state of being discolored; alteration of hue or appearance."
discolorization,A process of losing color.
discouragement,The act of discouraging.
discrediting,The act by which something is discredited.
discrete Fourier transform,The process of converting a discrete time-based function into its frequency-based representation.
discretionary spending,The action of making such expenditures
discretization,"The act of discretizing, or dividing a continuous object into a finite number of discrete elements Analyses all required a planar mathematical discretization of a region containing a prescribed number of cells with prescribed orientations"
discrimination,The act of recognizing the 'good' and 'bad' in situations and choosing good.
discumbency,The act of reclining at table according to the manner of the ancients at their meals
disease mongering,The practice of widening the diagnostic boundaries of illnesses in order to expand the markets for treatments.
disedification,The process of disedifying.
disembarkation,The act of disembarking.
disembodiment,The process of disembodying.
disemboguement,The act of disemboguing; discharge
disemboweling,The act by which somebody is disemboweled
disembowelling,The act by which somebody is disembowelled.
disembowelment,The act of disemboweling.
disempowerment,The act of disempowering
disenchantment,The act of disenchanting or the state of being disenchanted.
disendorsement,The act of disendorsing; withdrawal of endorsement.
disendowment,The act of depriving of an endowment or endowments
disentail,The act of freeing from entailment.
disentrancement,The process of awakening somebody from a trance.
disenvelopment,The act of disenveloping
disequalization,The process of becoming unequal; the act of disequalizing.
disequilibration,The act of bringing about a state of disequilibrium
disfiguration,"The act of disfiguring, spoiling the appearance of something or someone; the state of being disfigured"
disfranchisement,The act of disfranchising.
disfurniture,"The act of disfurnishing, or the state of being disfurnished."
disgorgement,"The act of disgorging, particularly in the legal sense."
disgorging,The act of something being disgorged
disguise,"The act of disguising, notably as a ploy"
disheartenment,The act of disheartening.
disherison,"The act of disheriting, or debarring from inheritance"
dishing,"The act of placing in a dish, as when presenting food to be served"
dishwashing,The act of cleaning the dishware.
disidentification,"The act of disidentifying, or rejecting a personal or group identity."
disillusionment,The act of freeing from an illusion; the state of being freed therefrom
disimpaction,"The act of disimpacting 2015 July 21, Rohit Anand et al., A Novel Endoscopic Method to Relieve Food Impaction Using an Inflatable Balloon, in Case Reports in Gastrointestinal Medicine[1], volume 2015, DOI:10.1155/2015/357253:Endoscopic disimpaction is the treatment of choice for food impaction."
disincarnation,The process of ceasing to have a physical body.
disindividualization,The process of depriving of individuality.
disinheritance,The act of disinheriting
disinsection,The use of insecticide for pest control; disinsectization
disinterment,The act of disinterring.
disinvestment,The process of disinvesting; negative investment.
disjunction,"The act of disjoining; disunion, separation."
dislocation,"The act of displacing, or the state of being displaced."
dislocation,"The act of dislocating, or putting out of joint; also, the condition of being thus displaced."
dislodging,The act by which something is dislodged.
disloyalty,"An act of being disloyal; a betrayal, faithbreach."
dismantlement,The act of dismantling; disassembly.
dismantling,The act by which something is dismantled
dismasting,The act by which a ship is dismasted
dismemberment,The act of dismembering
dismissal,The act of sending someone away.
dismission,The act of dismissing or sending away (someone)
dismounting,The act of one who dismounts
disobeyal,An act of disobedience
disobligation,The act of disobliging.
disorganization,The act of disorganizing; destruction of system.
disownment,The act of disowning.
dispalatalization,The process of becoming not palatal.
disparagement,"The act of disparaging, of belittling"
dispatch,The act of doing something quickly
dispensal,The act of dispensing something.
dispensation,"The act of dispensing or dealing out; distribution; often used of the distribution of good and evil by God to man, or more generically, of the acts and modes of his administration."
dispensing,The act by which something is dispensed or served out
dispersion,A process of dispersing.
displacement,"The act of displacing, or the state of being displaced; a putting out of place"
displacement,"The process of extracting soluble substances from organic material and the like, whereby a quantity of saturated solvent is displaced, or removed, for another quantity of the solvent."
displantation,The act of displanting; removal; displacement
displenishment,The process of displenishing; a stripping or emptying of contents.
disporting,The act of one who disports
disposing,"The act by which things are disposed, or set out."
dispossession,The act of dispossessing someone of something.
disproval,The act of disproving; disproof.
dispulsion,The act of dispelling (e.g
disputation,The act of disputing; a dispute or argument
dispute resolution,The process of resolving disputes between parties.
disqualification,"The act of disqualifying, or the state of being disqualified the disqualification of certain people for holding certain positions Henry won the match due to the disqualification of his opponent."
disqualification,: The act of being forbidden from further play in a basketball game due to the accumulation of too many personal fouls
disquieting,The act by which someone or something is disquieted
dissatisfaction,the cause of such feelings
dissection,"the act of dissecting, or something dissected"
disseisin,The act of disseizing
disseizin,"The act of disseizing; an act of unlawful dispossessing, especially of someone's lands"
dissemblance,An act of dissembling
dissembling,"The action of the verb dissemble 2005, C"
dissemination,"The act of disseminating, or the state of being disseminated; diffusion for propagation and permanence; a scattering or spreading abroad, as of ideas, beliefs, etc."
dissension,"An act of expressing dissent, especially spoken."
dissent,"An act of disagreeing with, or deviating from, the views and opinions of those holding authority."
disseverance,The act of dissevering; separation.
disseveration,The act of dissevering; disseverance.
dissilition,The act of bursting or springing apart
dissimilation,"The act of dissimilating, of making dissimilar."
dissimulation,The act of concealing the truth; hypocrisy or deception.
dissipation,The act of dissipating or dispersing; a state of dispersion or separation; dispersion; waste
dissociation,The act of dissociating or disuniting; a state of separation; disunion.
dissociation,The process by which a compound body breaks up into simpler constituents; said particularly of the action of heat on gaseous or volatile substances
dissolvement,The process of dissolving; dissolution
dissolving,The act by which something dissolves
distancing,The process of becoming distant
distension,The act of distending.
distention,The act of distending.
distillation,"The act of falling in drops, or the act of pouring out in drops."
distillery,The process of distilling alcohol.
distilment,The process of distillation.
distinction,"The act of distinguishing, discriminating; discrimination"
distinguishing,The act by which something is distinguished or told apart
distortion,An act of distorting.
distraction,The process of being distracted
distrainment,The act of distraining; distraint.
distributed computing,The process of aggregating the power of several computers to collaboratively run a single computational task in a transparent and coherent way
distributed computing,The use of the idle time of large numbers of networked computers to work on projects too large for any single group.
distribution,An act of distributing or state of being distributed.
distribution,"The process by which goods get to final consumers over a geographical market, including storing, selling, shipping and advertising."
distribution,The process of sorting the types and placing them in their proper boxes in the cases.
distributivity,the fact of being distributive
disturbance,"The act of disturbing, being disturbed."
dithering,The act of one who dithers
diversion,The act of diverting
diversionism,The use of diversion as a ploy to distract from an issue.
divestiture,"The act of divesting, or something divested"
divestiture,"The process of stripping away a person's confidence, values and attitudes in order to indoctrinate them into an organization"
divide,An act of dividing
dividing,An act of division
divination,The act of divining; a foreseeing or foretelling of future events.
diving,The action of the verb to dive in any sense.
diving,The act of pretending to be tripped or brought to the ground by an opposition player in order to secure a undeserved penalty.
divining,The action of the verb to divine in any sense
division,The process of dividing a number by another.
divisionism,The use of small areas of color to construct an image.
divitis,The practice of authoring web-page code with many div elements in place of meaningful semantic HTML elements.
divulgation,The act of divulging or publishing; publication
divulgence,The act of divulging.
divulging,The act by which something is divulged
divulsion,"The act of separating by force, especially by dilation or pulling apart"
do-goodism,The action of a do-gooder
do-support,"The use of the auxiliary verb ""do"" in negative or interrogative English sentences that do not contain other auxiliaries"
do it yourself,The practice of doing home improvements and maintenance oneself rather than employing a professional
dockage,The act of docking.
docketing,The act by which something is docketed.
docking,The process of cutting off or trimming the tail or ears of an animal.
docking,The process of connecting one spacecraft to another.
dodecaploidization,The process of becoming dodecaploid
dodge,An act of dodging.
dodging,The act of dodging; a dodge
doffing,The act by which an item of clothing is doffed
doga,The practice of yoga with pet dogs
dogging,The act of one who dogs or harasses
dogging,"The practice of having sexual intercourse in public places, especially parks, deliberately taking the chance of being watched"
doling,The act of one who doles
dollarization,"The process of a country, officially, or its residents, unofficially, adopting the US dollar or other foreign currency in parallel to or instead of the domestic currency"
dolorimetry,The measurement of pain.
dolphining,The act of pitching forward and backward like a dolphin (can be done in the air or water).
domain of convergence,The process of approaching some limiting value.
domestication,"The act of domesticating, or accustoming to home; the action of taming wild animals or breeding plants."
domestication,"The act of domesticating, or making a legal instrument recognized and enforceable in a jurisdiction foreign to the one in which the instrument was originally issued or created."
domiciliation,The act of domiciliating.
domination,"The act of dominating; exercise of power in ruling; dominion; supremacy; authority, often when arbitrary or insolent"
domineering,The act of one who domineers
donation,The act of giving or bestowing; a grant
donkey vote,"The act of casting a vote, in an election using a preferential voting system, by specifying the candidates in the order in which they are listed on the ballot paper (i.e., by numbering the choices sequentially from top to bottom, ignoring what they represent); a vote so cast"
dooming,The act by which something is doomed or fated; a condemnation
doomsaying,"The action of making dire predictions about the future 2012 April 29, Nathan Rabin, TV: Review: THE SIMPSONS (CLASSIC): Treehouse of Horror III (season 4, episode 5; originally aired 10/29/1992), in (Please provide the book title or journal name)[1]:The idea of a merchant selling both totems of pure evil and frozen yogurt (he calls it frogurt!) is amusing in itself, as is the idea that frogurt could be cursed, but its really the Shopkeepers quicksilver shift from ominous doomsaying to chipper salesmanship that sells the sequence."
doorstepping,The action of cornering someone for an unexpected interview.
doping,The use of drugs to improve athletic performance.
dormition,The process of falling asleep.
dorsoflexion,The act of bending a limb backwards
dosage compensation,The process by which organisms equalize the expression of genes between members of different biological sexes
dosimetry,"The measurement of doses, especially of ionizing radiation."
dotation,"The act of endowing, or bestowing a marriage portion on a woman."
double-click,The action of pushing the button on a mouse twice in quick succession in order to perform a different task that would be performed from a single-click or triple-click.
double-count,"The process of or results of a second tally, for purposes of accuracy and/or safety"
double-fisting,"The act of inserting both hands or forearms while anally or vaginally fisting the penetratee 2003, Terri Hamilton, Skin Flutes Velvet Gloves[2], page 309:Women wanting even more may find the answer in double-fisting where the fister inserts (or, to use Addington's phrase, ""dives in"" with) both hands"
double-handedness,The use of both hands together
double-handedness,"The use of two people, working together"
double-jobbing,The act of holding two or more political offices simultaneously.
double-parking,"the act of parking beside a car that is already parked at the side of the street 2009, Ira Gershkoff, Richard Trachtman, The Boston Driver's Handbook: The Almost Post Big Dig Edition, ISBN:In addition, the many fine restaurants of the area bring on a high incidence of double-parking"
double copula,"The use of two successive copulas when only one is necessary, as in ""My point is, is that..."""
double cropping,"The practice of sequentially raising and harvesting a second (or third, or sometimes more) crop (usually vegetables) in the same field in a single growing season, especially in warmer climates such as California's Imperial Valley or the Rio Grande valley of Texas and Mexico."
double exposure,The process of producing such a photograph
double jeopardy,"The act of trying someone twice for the same offense, especially after an acquittal in the first trial."
doubling,"The act of turning around, or doubling back."
dousing,The act by which something is doused
down,"A tract of poor, sandy, undulating or hilly land near the sea, covered with fine turf which serves chiefly for the grazing of sheep"
downfall,The cause of such a fall; a critical blow or error
downfall,An act of falling down
downfalling,An act of falling downward.
downflexing,An act of downflexing or an instance where something has been downflexed
downgaze,The act of looking downward.
downplaying,"The act by which something is downplayed, or made to seem less important."
downpouring,The act of something being poured down
downscaling,The act by which something is downscaled; a reduction in size or numbers.
downselection,The process of downselecting.
downsitting,The act of sitting down; repose; a resting
downtrace,The process of taking scientific samples as a probe is moving downward
downtrading,The practice of a consumer switching from expensive brands to cheaper alternatives
downweighting,The process by which something is downweighted
dowsing,"The practice of seeking water or other substances (usually liquid) with the aid of a forked stick or similar pointing device, as believed by some practitioners to derive from supernatural power."
dowsing,The use of a pendulum to find something
draft,An act of drinking.
drag,"The act of suppressing wind flow to slow an aircraft in flight, as by use of flaps when landing."
drag bunt,The act of bunting while running towards first base The drag bunt is a skill that few players perfect.
draining,"The practice of exploring drains, tunnels, or sewers."
draining,The process by which something is drained or emptied.
dramatization,The act of dramatizing.
dramatology,"The practice of viewing all symptoms as valid communications, including words, posture, tone of voice, and movements of the face and limbs."
dramming,The practice of drinking drams.
draughtproofing,The act of making something draughtproof.
draw,The act of pulling back the strings in preparation of firing.
drawdown,The act of reduction or depletion.
drawdown,"The process of a bank releasing previously agreed loan amount to the borrower, hence making it available for them to use."
drawfiling,The process of smooth filing by working the file sidewise instead of lengthwise.
drawing,The act of producing such a picture.
drawing,The process of drawing or pulling something
drawling,The act of speaking with a drawl.
dredging,"the act of using a dredger or excavator to dredge a harbour, river, channel or watercourse."
drenching,The act by which something is drenched; a soaking.
dressing,The activity of getting dressed
drifting,The act by which something drifts
drilldown,"The action of drilling down, or examining something at a higher level of detail"
drilling,Act of drilling.
drink,"The action of drinking, especially with the verbs take or have"
drive,"An act of driving animals forward, as to be captured, hunted etc"
drive-off,The act of leaving a gas station without paying after filling the tank.
drive-off,The act of leaving a gas station with the hose nozzle still inserted into the gas-tank fill spout.
driving,The action of the verb to drive in any sense.
dronology,The use of repeated lengthy droning sounds in music
drooling,The act of one who drools
drop in,the act of dropping in (see verb below)
dropping,The act of something that drops or falls
drownage,The act of drowning.
drowsing,The act of one who drowses
drug abuse,"Misuse of, or overindulgence in, drugs; substance abuse"
drug trafficking,"The process of smuggling, distributing and selling illegal drugs."
drugging,The act of giving a dose of drugs
drumming,The act of beating a drum.
drunk driving,The act of driving under the influence of alcohol
dry,The process by which something is dried
dry-labbing,The practice of falsifying experiment results by altering the experiment in order to produce the desired results.
dry cleaning,"The process of cleaning clothes and other fabrics without using water, instead using solvents and specialized equipment."
dry labbing,The act of supplying fictional yet plausible results in lieu of performing an assigned experiment.
dry steering,The act of turning the wheels of a car that is not moving.
drying,The act of drying.
drying-up,The act of drying dishes after they have been washed up
dual photon absorptiometry,"Use of two differing sources of radiation to measure the density of a substance, typically bone."
dualization,The process of dualizing
dubbese,The use of unnatural language in dubbing.
dubdown,The process of remixing audio tracks to use fewer tracks
duck dive,the action of duck diving (see verb).
ducking,The action of the verb to duck.
dueling,Act of taking part in a duel.
duelling,Act of taking part in a duel.
dulcification,The act of dulcifying or sweetening
dulcoration,The act of sweetening
dumb show,The use of gesture in an attempt to convey meaning.
dummy spit,"The act of overreacting (as an adult) to a situation childishly, in an angry or frustrated manner"
dump,"An act of dumping, or its result"
dump job,"The act of moving a corpse from the place of death and abandoning it in a deserted area, typically to conceal a murder."
dumpage,"The act of dumping loads from carts, especially loads of refuse matter."
dumpster diving,"the act of recovering, for any purpose, discarded items that would otherwise be sent to a landfill"
dunk,"The act of dunking, particularly in basketball"
duplication,The act of duplicating.
duplication,The act of copying a nucleotide sequence from one chromosome to another.
durometer,"The measurement of the hardness or stiffness of a material, especially of plastic or rubber"
durotaxis,The movement of a cell along a rigidity gradient
dust,The act of cleaning by dusting
dust-off,The act of removing dust from something.
dusting,"The act of removing dust, as a household chore"
dwindlement,The process of dwindling; gradual reduction to nothing.
dyeing,The act by which something is dyed
dying,"The process of approaching death; or, less precisely, death itself."
dynamic IP addressing,The use of a dynamic IP address.
dynamic memory allocation,The process of allocating memory at runtime.
dynamicization,The process of making or becoming dynamic.
dynamiting,The act of blowing something up with dynamite
dynamometry,The measurement of forces doing work.
dysmorphometry,The measurement of morphological abnormalities
dysphemism,"The use of a derogatory, offensive or vulgar word or phrase to replace a (more) neutral original."
qiyas,The use of analogy as precedent in Shari'a jurisprudence.
quackery,"The practice of fraudulent medicine, usually in order to make money or for ego gratification and power; health fraud."
quadrature,The process of making something square; squaring.
quadrisection,The action of dividing something into four parts.
quadruple-click,The action of pushing the button on a mouse four times in quick succession.
quadrupling,An act of quadrupling.
quaff,The act of quaffing; a deep draught
quaffing,The act by which something is quaffed; a drinking
quailing,"The act of one who quails, or draws back in fear"
quaking,The action of the verb to quake.
quangoization,The process of introducing quangos.
quantification,The act of quantifying.
quantitation,The process of quantitating.
quantization,The process of approximating a continuous signal by a set of discrete symbols or integer values.
quantum computing,The use of quantum mechanical phenomena to transcend classical time complexity limitations in computing
quantum tomography,The process of reconstructing the quantum state (density matrix) for a source of quantum systems by measurement on the systems coming from the source.
quarterbacking,The act of playing as a quarterback
quarterbacking,"The action of making criticisms after the event 2019 May 19, Alex McLevy, The final Game Of Thrones brings a pensive but simple meditation about stories (newbies), in The A.V"
quartering,"The act of providing housing for military personnel, especially when imposed upon the home of a private citizen."
quartering,The practice of docking 15 minutes' pay from a worker who arrived late (even by less than 15 minutes).
quashing,The action of quashing something.
quasiquotation,The process of quasiquoting.
quavering,The act of something that quavers
queerification,"The process of making or becoming queer, i.e"
queerization,"Process of making queer (homosexual, transgender, etc.)."
quelling,The act by which something is quelled
querying,The act of making a query
quest,"The act of seeking, or looking after anything; attempt to find or obtain; search; pursuit"
questing,The act of going in quest of something
questioning,The action of asking questions; a survey; an inquiry.
questioning,"The act of challenging, wondering and doubting."
queueing,The act of placing something in a queue.
queuing,The act of placing something in a queue.
quickening,The action of bringing someone or something to life.
quicksave,An act of saving one's progress made quickly in this way.
quiescence,The action of bringing something to rest or making it quiescent; the action of coming to rest or to a quiescent state
quietening,The act of making something quieter.
quieting,The act of making something quiet.
quilling,"The practice of blowing pepper or snuff through a quill into the nose of a woman who is giving birth, to induce sneezing and diaphragmatic contractions which will induce or hasten labor"
quilting,The practice of creating quilts
quintuple-click,The action of pushing the button on a mouse five times in quick succession.
quippery,The use of quips; smart humour.
quotaism,"The practice of taking a certain action to fulfil a quota, regardless of the action's merits (for example, ensuring that 10% of students admitted to a college are from a certain ethnic group, regardless of their qualifications)"
quotation,The act of setting a price.
zenpai,the act of losing every bout in a tournament
zensho yusho,the act of winning a tournament and not losing a single bout
zero-day exploit,The act of exploiting a security vulnerability on the same day it becomes publicly known.
zero-hour contract,"A contract of employment that creates an on-call arrangement in which the employee agrees to be available for work as and when required, without any particular number of hours or times of work being specified or guaranteed."
zetametry,"The measurement of zeta potential, typically as part of a zetametric titration"
zeugma,"The act of using a word, particularly an adjective or verb, to apply to more than one noun when its sense is appropriate to only one."
zhoosh,The action of mixing ingredients using an electric food mixer; a pulse of mixing
zooerastia,"The practice of a human engaging in sexual intercourse with an animal 1908, Bernard Simon Talmey, Woman: A Treatise on the Normal and Pathological Emotions of Feminine Love, page 8:A curious instance of perversion in religio-sexual feeling, bordering on zooerastia, is the case of St"
zooerasty,The practice of a human engaging in sexual intercourse with an animal
zoophagia,The act of eating living creatures.
zoopraxography,The use of chronophotography to capture animated images of animal locomotion.
zooprophylaxis,The use of animals (such as cattle) to divert disease-carrying insects such as mosquitos from humans
zootherapy,The use of living animals for medical treatment or as an adjunct to medical diagnosis.
zymolysis,The action of enzymes in breaking down organic substances during fermentation
oasification,"The process of restoring water, soil, and plant life to an environment that has been degraded by soil erosion."
objection,The act of objecting
oblatration,The act of oblatrating; a barking or snarling
obligation,"The act of binding oneself by a social, legal, or moral tie to someone."
obliquation,The act of becoming oblique; a turning to one side; obliquity
oblique sailing,"The movement of a ship when she sails upon some rhumb between the four cardinal points, making an oblique angle with the meridian."
obnubilation,"The action of darkening or fact of being darkened, as with a cloud; obscuration"
obscenity,An act of obscene behaviour
obscurement,"The act of obscuring, or the state of being obscured"
observance,"The practice of complying with a law, custom, command or rule."
observation,"The act of observing, and the fact of being observed"
observation,The act of noting and recording some event; or the record of such noting.
obsignation,The act of sealing or ratifying
obsolescence,"The process of becoming obsolete, outmoded or out of date"
obstruction,"The act of obstructing, or state of being obstructed."
obtainment,The act of obtaining something; attainment.
obtestation,The act of obtesting; supplication; protestation
obtruncation,The act of lopping or cutting off
obturation,"The act of stopping up, or closing, an opening"
obturation,"The process of a bullet expanding under pressure to fit the bore of the firearm, or a cartridge case expanding under pressure to seal the chamber."
obumbration,The act of darkening or obscuring
obversion,The act of turning toward or downward.
obviation,The act of obviating; deterrence or prevention.
occecation,"The act of making blind, or the state of being blind"
occlusion,"The process of occluding, or something that occludes."
occupancy,"The act of occupying, the state of being occupied or the state of being an occupant or tenant."
ocean dumping,The act of disposing of waste (especially nuclear waste) in a deep section of the ocean.
octosyllabics,The use of octosyllabic lines in poetry.
odontometrics,The measurement of teeth
offending,The act of committing an offence
offense,"The act of offending: a crime or sin 2006, Edwin Black, chapter 2, in Internal Combustion[1]:The popular late Middle Ages fictional character Robin Hood, dressed in green to symbolize the forest, dodged fines for forest offenses and stole from the rich to give to the poor"
offering,The act by which something is offered.
officiation,The act of officiating.
offload,"The act of offloading something, or diverting it elsewhere"
offload,The act of passing the ball to a team mate when tackled
offsetting,The act of offsetting
offshorization,"The act of moving capital to offshore accounts, or relocating business to a foreign country with a more lenient tax regime"
offtake,"An act of taking off; specifically, the taking away or purchase of goods."
offthrow,"The act of throwing off; (by extension) liberation 1871, The Quarterly Journal of the Geological Society of London, page 3:The theory of a rise of a dome of strata from beneath the sea and the offthrow of the waters on all sides from that dome, their escape through lateral fractures in the upheaved chalk, together with a slow wearing back of the fractured and denuded edges of the chalk in the form of cliffs, [] 1879, John S"
oil-canning,The movement of a perceived flat surface due to the application of an external force
oil change,"the process of draining old oil from an engine or gearbox and refilling with fresh oil, often done at recommended intervals."
olation,The process by which metal ions form polymeric oxides in aqueous solution.
oleography,The process of identifying oils by their oleographs.
omission,The act of omitting.
omission,The act of neglecting to perform an action one has an obligation to do.
omittance,The act of omitting something; omission
omitting,An act of omission
onboarding,"The process of bringing a new employee on board, incorporating training and orientation."
oncoimmunotherapy,The use of immunotherapy to treat cancers
one short,"The act of a batsman, running between the wickets, failing to ground himself or his bat behind the popping crease before turning for another run; the umpire's signal indicating this (the run does not count)."
oneiromancy,An act of such divination or dream-interpretation
onlook,The act of looking on (something); observation
onomatopoeia,The use of language whose sound imitates that which it names.
ooch,An act of forcing the boat forward by rocking one's body
oometry,The measurement of eggs.
opacification,The action of making something opaque or cloudy
opalization,"The process of making something opalescent, or of converting wood etc into opal."
open carry,The practice of openly carrying a firearm in public.
open dating,The use of a date or code stamped on food packaging to help determine how long to display the product for sale.
open source,The practice of providing open-source code for a product.
open table,"The practice of some Protestant churches to allow all people to take Communion, regardless of being members of the church or not."
operance,The act of operating or working; operation.
ophthalmodynamometry,The measurement of blood pressure in the blood vessels of the retina
opining,The act of giving one's opinion
opinionmaking,The process of influencing the public in their opinions.
oppilation,"The act of filling or crowding together; a stopping by redundant matter; obstruction, particularly in the lower intestines"
opponency,"The act of opening an academic disputation; the proposition of objections to a tenet, as an exercise for a degree"
opportunism,"The practice of taking advantage of any situations or people to achieve an end, often with no regard for principles or consequences."
opposition,The action of opposing or of being in conflict
oppression,"The act of oppressing, or the state of being oppressed"
opprobrium,A cause of shame or disgrace.
oppugnancy,"The act of oppugning; opposition; resistance Shakespeare, Troilus and Cressida (act 1, scene 3) Take but degree away, untune that string,And, hark, what discord follows! each thing meetsIn mere oppugnancy []"
opt-out,the act of opting out of something
optokinesis,"The movement of the eye in response to an external stimulus 2015 August 20, Driver Gaze Behavior Is Different in Normal Curve Driving and when Looking at the Tangent Point, in PLOS ONE[1], DOI:10.1371/journal.pone.0135505:Another point to consider is that in binocular viewing, smooth pursuit follows flow of scene elements at the depth of the point of fixation, which means that in a real 3D environment optokinesis may also incorporate depth information by tracking retinal image elements with zero disparity, making stereo vision potentially relevant for steering (see discussion in [22 ])."
oral hygiene,"The practice of keeping the mouth clean in order to prevent cavities (dental caries), gingivitis, periodontitis, bad breath (halitosis), and other dental disorders."
orcos,Use of an oath to enhance the believability of a statement.
orderliness,"The fact of having a regular, proper and systematic arrangement"
ordination,The act of ordaining or the state of being ordained.
oreforming,The process of forming an ore
organ donation,The act of donating one's organ to another person through an organ transplant.
organellometry,The measurement of organelles
organocatalysis,The use of small organic compounds as catalysts
organotherapeutics,The practice of organotherapy.
origination,The process of bringing something into existence.
origination,The act of bringing something into existence.
orogenesis,The process of mountain formation by deformation of the Earth's crust.
orogeny,The process of mountain building by the upward folding of the Earth's crust
orphanotrophy,The act of supporting orphans.
orthodoxization,The process of making orthodox.
orthogonalization,The process of converting a set of functions or vectors into orthogonal ones.
orthologization,The process of making something orthologous
orthostasis,"The act of standing upright, commonly used as another term for orthostatic hypotension."
orthotrophy,"The practice of eating the ""correct"" things"
oscillation,the act of oscillating or the state of being oscillated
oscillometry,The measurement of oscillations
oscillotonometry,The measurement of blood pressure by means of an oscillotonometer
oscitancy,the act of yawning
oscitation,The act of yawning or gaping
osculation,The action of kissing
osmication,The process of osmicating.
osmometry,The measurement of osmotic pressure
osmoreception,The action of an osmoreceptor
osmotherapy,The use of osmotically active substances to reduce the volume of intracranial contents.
osmotrophy,The movement of dissolved nutrients by means of osmosis
osmylation,The process of osmylating
ossification,The process of becoming set in one's ways or beliefs; rigid conventionality.
ostension,The act of presenting an ostensive definition
ostensive definition,A process of binding the meaning to the defined term by pointing out examples and counterexamples.
